,2018-03-31,2019-03-31,2020-03-31,2021-03-31,2022-03-31
Investments,-174904000.0,-128458000.0,69473000.0,-635332000.0,458367000.0
Change To Liabilities,397130000.0,505865000.0,244273000.0,231139000.0,-76551000.0
Total Cashflows From Investing Activities,-271827000.0,-223576000.0,4049000.0,-806724000.0,139216000.0
Net Borrowings,,-12150000.0,-12150000.0,-12150000.0,-12150000.0
Total Cash From Financing Activities,-281467000.0,-463685000.0,-77453000.0,-57338000.0,-256813000.0
Change To Operating Activities,-311772000.0,-507513000.0,-297108000.0,-344874000.0,-661976000.0
Issuance Of Stock,10515000.0,10515000.0,10515000.0,14214000.0,19657000.0
Net Income,173533000.0,333837000.0,404459000.0,588886000.0,418022000.0
Change In Cash,-34843000.0,145615000.0,601406000.0,66855000.0,135084000.0
Repurchase Of Stock,-267676000.0,-463685000.0,-87968000.0,-71552000.0,-264086000.0
Effect Of Exchange Rate,24924000.0,-10639000.0,-10868000.0,18599000.0,-5303000.0
Total Cash From Operating Activities,493527000.0,843515000.0,685678000.0,912318000.0,257984000.0
Depreciation,67032000.0,63605000.0,68618000.0,88550000.0,126013000.0
Other Cashflows From Investing Activities,,822000.0,822000.0,822000.0,822000.0
Change To Inventory,3917000.0,-14403000.0,8489000.0,2503000.0,4106000.0
Change To Account Receivables,-26998000.0,-98075000.0,-195484000.0,47195000.0,-17857000.0
Other Cashflows From Financing Activities,-13791000.0,-234000.0,-234000.0,-234000.0,-234000.0
Change To Netincome,98196000.0,366404000.0,284506000.0,193729000.0,377034000.0
Capital Expenditures,-87522000.0,-66969000.0,-53384000.0,-68923000.0,-158642000.0
