,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30
Total Stockholder Equity,15616000000.0,15564000000.0,15326000000.0,15719000000.0,15942000000.0,16462000000.0,16622000000.0,16622000000.0,16735000000.0
Net Tangible Assets,-1918000000.0,-1616000000.0,-760000000.0,-1331000000.0,-886000000.0,-1723000000.0,-1601000000.0,-1601000000.0,-2896000000.0
Intangible Assets,7433000000.0,7043000000.0,6135000000.0,6182000000.0,5954000000.0,6365000000.0,6235000000.0,6682000000.0,
Capital Surplus,19590000000.0,19687000000.0,19732000000.0,19750000000.0,19817000000.0,19930000000.0,19986000000.0,20043000000.0,
Total Liab,15207000000.0,15281000000.0,15451000000.0,15181000000.0,15226000000.0,15415000000.0,15607000000.0,15602000000.0,
Other Current Liab,1074000000.0,1243000000.0,1419000000.0,1143000000.0,1355000000.0,1279000000.0,1265000000.0,1707000000.0,
Total Assets,30823000000.0,30845000000.0,30777000000.0,30900000000.0,31168000000.0,31877000000.0,32229000000.0,32337000000.0,
Common Stock,17000000.0,17000000.0,17000000.0,17000000.0,17000000.0,17000000.0,17000000.0,17000000.0,
Other Current Assets,1106000000.0,1068000000.0,2078000000.0,1047000000.0,978000000.0,1010000000.0,1004000000.0,1138000000.0,
Retained Earnings,-2405000000.0,-2574000000.0,-2378000000.0,-2050000000.0,-1878000000.0,-1473000000.0,-1392000000.0,-1296000000.0,
Other Liab,2558000000.0,2398000000.0,2239000000.0,2353000000.0,1947000000.0,2192000000.0,2140000000.0,1882000000.0,
Good Will,10101000000.0,10137000000.0,9951000000.0,10868000000.0,10874000000.0,11820000000.0,11988000000.0,12949000000.0,
Treasury Stock,-1586000000.0,-1566000000.0,-2045000000.0,-1998000000.0,-2014000000.0,-2012000000.0,-1989000000.0,-2029000000.0,
Other Assets,4624000000.0,4561000000.0,4537000000.0,4646000000.0,4474000000.0,4504000000.0,4590000000.0,4546000000.0,
Cash,1724000000.0,2022000000.0,1734000000.0,2016000000.0,2675000000.0,1947000000.0,1925000000.0,325000000.0,
Total Current Liabilities,3108000000.0,3302000000.0,3681000000.0,3393000000.0,4073000000.0,4022000000.0,4274000000.0,4275000000.0,
Deferred Long Term Asset Charges,4182000000.0,4172000000.0,4210000000.0,4173000000.0,4036000000.0,4049000000.0,4142000000.0,4102000000.0,
Short Long Term Debt,4000000.0,11000000.0,13000000.0,13000000.0,262000000.0,261000000.0,261000000.0,238000000.0,
Other Stockholder Equity,131000000.0,151000000.0,206000000.0,253000000.0,237000000.0,239000000.0,262000000.0,222000000.0,
Property Plant Equipment,2396000000.0,2375000000.0,2542000000.0,2460000000.0,2493000000.0,2525000000.0,2687000000.0,2689000000.0,
Total Current Assets,5803000000.0,6160000000.0,6694000000.0,6101000000.0,6758000000.0,6229000000.0,6317000000.0,5065000000.0,
Long Term Investments,466000000.0,569000000.0,918000000.0,643000000.0,615000000.0,434000000.0,412000000.0,406000000.0,
Net Receivables,1457000000.0,1598000000.0,1531000000.0,1631000000.0,1675000000.0,1669000000.0,1778000000.0,1866000000.0,
Long Term Debt,9272000000.0,9319000000.0,9123000000.0,9076000000.0,8841000000.0,8818000000.0,8798000000.0,9061000000.0,
Inventory,1516000000.0,1472000000.0,1351000000.0,1407000000.0,1430000000.0,1603000000.0,1610000000.0,1736000000.0,
Accounts Payable,408000000.0,452000000.0,513000000.0,615000000.0,689000000.0,674000000.0,794000000.0,696000000.0,
