,2020-05-31,2020-08-31,2020-11-30,2021-02-28,2021-05-31,2021-08-31,2021-11-30,2022-02-28,2022-05-31,2022-08-31
Capital Surplus,3356000000.0,3375000000.0,3400000000.0,3445000000.0,3481000000.0,3610000000.0,3653000000.0,3686000000.0,3712000000.0,3751000000.0
Total Liab,55242000000.0,58186000000.0,60117000000.0,60812000000.0,58609000000.0,57727000000.0,59307000000.0,59582000000.0,61055000000.0,60686000000.0
Total Stockholder Equity,18295000000.0,19462000000.0,21039000000.0,21981000000.0,24168000000.0,24321000000.0,24940000000.0,24526000000.0,24939000000.0,25140000000.0
Total Assets,73537000000.0,77648000000.0,81156000000.0,82793000000.0,82777000000.0,82048000000.0,84247000000.0,84108000000.0,85994000000.0,85826000000.0
Common Stock,32000000.0,32000000.0,32000000.0,32000000.0,32000000.0,32000000.0,32000000.0,32000000.0,32000000.0,32000000.0
Retained Earnings,25216000000.0,26108000000.0,27208000000.0,27924000000.0,29817000000.0,30462000000.0,31307000000.0,32225000000.0,32782000000.0,33060000000.0
Other Liab,10751000000.0,11073000000.0,11772000000.0,11459000000.0,10841000000.0,10881000000.0,11082000000.0,10749000000.0,12112000000.0,11885000000.0
Good Will,6372000000.0,6633000000.0,6702000000.0,6977000000.0,6992000000.0,6843000000.0,6702000000.0,6755000000.0,6544000000.0,6316000000.0
Treasury Stock,-10309000000.0,-10053000000.0,-9601000000.0,-9420000000.0,-9162000000.0,-9783000000.0,-10052000000.0,-11417000000.0,-11587000000.0,-11703000000.0
Other Assets,2935000000.0,3354000000.0,3734000000.0,4152000000.0,3748000000.0,3764000000.0,3627000000.0,3906000000.0,4080000000.0,3879000000.0
Cash,4881000000.0,6954000000.0,8339000000.0,8856000000.0,7087000000.0,6853000000.0,6833000000.0,6065000000.0,6897000000.0,6850000000.0
Total Current Liabilities,10344000000.0,11195000000.0,12115000000.0,13566000000.0,13660000000.0,12910000000.0,13884000000.0,13990000000.0,14274000000.0,13765000000.0
Short Long Term Debt,,,,103000000.0,50000000.0,58000000.0,47000000.0,64000000.0,50000000.0,52000000.0
Other Stockholder Equity,-1147000000.0,-1020000000.0,-898000000.0,-764000000.0,-732000000.0,-881000000.0,-977000000.0,-887000000.0,-1103000000.0,-1314000000.0
Property Plant Equipment,47525000000.0,48758000000.0,49455000000.0,49954000000.0,51135000000.0,51895000000.0,53171000000.0,53981000000.0,54704000000.0,56025000000.0
Total Current Assets,16383000000.0,18903000000.0,21265000000.0,21710000000.0,20580000000.0,19546000000.0,20747000000.0,19466000000.0,20365000000.0,19606000000.0
Net Tangible Assets,11601000000.0,12829000000.0,14337000000.0,15004000000.0,16854000000.0,17478000000.0,18238000000.0,17771000000.0,18094000000.0,18824000000.0
Net Receivables,10102000000.0,10508000000.0,11417000000.0,11481000000.0,11977000000.0,11125000000.0,12197000000.0,11668000000.0,11863000000.0,11055000000.0
Long Term Debt,21518000000.0,22800000000.0,22800000000.0,22797000000.0,20733000000.0,20117000000.0,19946000000.0,19944000000.0,19746000000.0,19461000000.0
Inventory,572000000.0,593000000.0,587000000.0,583000000.0,587000000.0,577000000.0,594000000.0,611000000.0,637000000.0,647000000.0
Accounts Payable,3269000000.0,3339000000.0,3733000000.0,3990000000.0,3841000000.0,3822000000.0,4190000000.0,4187000000.0,4030000000.0,4167000000.0
Intangible Assets,322000000.0,,,,322000000.0,,,,301000000.0,
Deferred Long Term Asset Charges,1347000000.0,,,,1418000000.0,,,,1207000000.0,
