,2020-08-01,2020-10-31,2021-01-30,2021-05-01,2021-07-31,2021-10-30,2022-01-29,2022-04-30,2022-07-31
Capital Surplus,6248000000.0,6285000000.0,6329000000.0,6271000000.0,6332000000.0,6381000000.0,6421000000.0,5592000000.0,6502000000.0
Total Liab,35422000000.0,37342000000.0,36808000000.0,35512000000.0,36525000000.0,40608000000.0,40984000000.0,40068000000.0,41878000000.0
Total Stockholder Equity,12578000000.0,13319000000.0,14440000000.0,14959000000.0,14860000000.0,13803000000.0,12827000000.0,10774000000.0,10592000000.0
Other Current Liab,775000000.0,758000000.0,2883000000.0,895000000.0,880000000.0,906000000.0,2936000000.0,1013000000.0,965000000.0
Total Assets,48000000000.0,50661000000.0,51248000000.0,50471000000.0,51385000000.0,54411000000.0,53811000000.0,50842000000.0,52470000000.0
Common Stock,42000000.0,42000000.0,42000000.0,41000000.0,41000000.0,40000000.0,39000000.0,39000000.0,38000000.0
Other Current Assets,1436000000.0,1582000000.0,286000000.0,1576000000.0,1604000000.0,1853000000.0,220000000.0,1717000000.0,1982000000.0
Retained Earnings,7121000000.0,7789000000.0,8825000000.0,9372000000.0,9200000000.0,8069000000.0,6920000000.0,5495000000.0,4421000000.0
Other Liab,3089000000.0,3296000000.0,2929000000.0,3068000000.0,3052000000.0,3177000000.0,3195000000.0,3357000000.0,3431000000.0
Treasury Stock,-833000000.0,-797000000.0,-756000000.0,-725000000.0,-713000000.0,-687000000.0,-553000000.0,-352000000.0,-369000000.0
Other Assets,1166000000.0,1166000000.0,530000000.0,1225000000.0,1247000000.0,1265000000.0,710000000.0,1356000000.0,1365000000.0
Cash,7284000000.0,5996000000.0,8511000000.0,7816000000.0,7368000000.0,5753000000.0,5911000000.0,1112000000.0,1117000000.0
Total Current Liabilities,15892000000.0,19357000000.0,20125000000.0,18598000000.0,19422000000.0,23351000000.0,21747000000.0,20724000000.0,22445000000.0
Short Long Term Debt,109000000.0,131000000.0,1056000000.0,1173000000.0,1190000000.0,1176000000.0,63000000.0,1089000000.0,1649000000.0
Other Stockholder Equity,-833000000.0,-797000000.0,-756000000.0,-725000000.0,-713000000.0,-687000000.0,-553000000.0,-352000000.0,-369000000.0
Property Plant Equipment,28972000000.0,28981000000.0,29106000000.0,29166000000.0,29747000000.0,30454000000.0,30737000000.0,31241000000.0,32362000000.0
Total Current Assets,17623000000.0,20309000000.0,20756000000.0,19931000000.0,20231000000.0,22576000000.0,21573000000.0,17953000000.0,18453000000.0
Long Term Investments,239000000.0,205000000.0,188000000.0,149000000.0,160000000.0,116000000.0,135000000.0,292000000.0,290000000.0
Net Tangible Assets,12578000000.0,13319000000.0,13772000000.0,14959000000.0,14860000000.0,13803000000.0,12171000000.0,10774000000.0,10592000000.0
Long Term Debt,14200000000.0,12493000000.0,9770000000.0,11509000000.0,11589000000.0,11586000000.0,11582000000.0,13406000000.0,13459000000.0
Inventory,8876000000.0,12712000000.0,10653000000.0,10539000000.0,11259000000.0,14958000000.0,13902000000.0,15083000000.0,15320000000.0
Accounts Payable,10726000000.0,14203000000.0,12859000000.0,11637000000.0,12632000000.0,16250000000.0,15478000000.0,14053000000.0,14891000000.0
Intangible Assets,,,37000000.0,,,,25000000.0,,
Good Will,,,631000000.0,,,,631000000.0,,
Net Receivables,,,1135000000.0,,,,1353000000.0,,
Short Term Investments,27000000.0,19000000.0,,,,,,,
