,2020-06-27,2020-09-26,2021-01-02,2021-04-03,2021-07-03,2021-10-02,2022-01-01,2022-04-02,2022-07-02
Intangible Assets,241000000.0,241600000.0,260800000.0,254600000.0,255200000.0,249600000.0,301700000.0,295500000.0,283500000.0
Capital Surplus,383100000.0,386300000.0,391700000.0,419700000.0,461100000.0,467700000.0,472700000.0,474700000.0,488100000.0
Total Liab,2604900000.0,2626800000.0,2710700000.0,2775600000.0,2766100000.0,2511600000.0,2555900000.0,2574600000.0,2517500000.0
Total Stockholder Equity,3486700000.0,3619000000.0,3824900000.0,3876000000.0,4003400000.0,4047300000.0,4181900000.0,4298300000.0,4324400000.0
Minority Interest,21900000.0,21800000.0,21700000.0,21900000.0,22100000.0,22000000.0,21900000.0,22300000.0,22400000.0
Other Current Liab,83300000.0,85900000.0,238700000.0,76300000.0,78300000.0,89300000.0,228300000.0,74800000.0,77500000.0
Total Assets,6113500000.0,6267600000.0,6557300000.0,6673500000.0,6791600000.0,6580900000.0,6759700000.0,6895200000.0,6864300000.0
Common Stock,67400000.0,67400000.0,67400000.0,67400000.0,67400000.0,67400000.0,67400000.0,67400000.0,67400000.0
Retained Earnings,4894200000.0,5014900000.0,5156900000.0,5282500000.0,5423500000.0,5552800000.0,5699900000.0,5841000000.0,5996200000.0
Other Liab,296500000.0,286200000.0,322300000.0,320700000.0,321600000.0,309000000.0,352100000.0,331100000.0,305400000.0
Good Will,924500000.0,938500000.0,982400000.0,1161800000.0,1177600000.0,1171000000.0,1116500000.0,1077800000.0,1046000000.0
Treasury Stock,-1858000000.0,-1849600000.0,-1791100000.0,-1893600000.0,-1948600000.0,-2040600000.0,-2058100000.0,-2084800000.0,-2227300000.0
Other Assets,100600000.0,94000000.0,105600000.0,130300000.0,112800000.0,108600000.0,212500000.0,233800000.0,229700000.0
Cash,685900000.0,787200000.0,923200000.0,904200000.0,965600000.0,735200000.0,779900000.0,860800000.0,812600000.0
Total Current Liabilities,829400000.0,1117000000.0,1164900000.0,1234100000.0,1222100000.0,979700000.0,982200000.0,1024100000.0,986100000.0
Deferred Long Term Asset Charges,24600000.0,24600000.0,27600000.0,25400000.0,27700000.0,25700000.0,26500000.0,48100000.0,46200000.0
Other Stockholder Equity,-514400000.0,-465600000.0,-365800000.0,-388300000.0,-362700000.0,-394800000.0,-343900000.0,-350600000.0,-457700000.0
Property Plant Equipment,555500000.0,552400000.0,574100000.0,564900000.0,574400000.0,570000000.0,566500000.0,559600000.0,556800000.0
Total Current Assets,2772400000.0,2938200000.0,3083000000.0,3052500000.0,3149700000.0,2974300000.0,3053400000.0,3236000000.0,3230700000.0
Net Tangible Assets,2321200000.0,2438900000.0,2581700000.0,2459600000.0,2570600000.0,2626700000.0,2763700000.0,2925000000.0,2994900000.0
Net Receivables,569700000.0,624800000.0,646700000.0,656800000.0,651500000.0,659200000.0,688100000.0,736700000.0,734600000.0
Inventory,784000000.0,764400000.0,746500000.0,730100000.0,760900000.0,789600000.0,803800000.0,864100000.0,893300000.0
Accounts Payable,184700000.0,204900000.0,222300000.0,235000000.0,279400000.0,265900000.0,276600000.0,296900000.0,306800000.0
Other Current Assets,,,25700000.0,,,,25700000.0,,
Long Term Investments,,,26100000.0,,,,,,
