,2017-06-30,2018-06-29,2019-06-28,2020-07-03,2021-07-02,2022-07-01
Investments,178000000.0,-4000000.0,83000000.0,16000000.0,7000000.0,-26000000.0
Change To Liabilities,261000000.0,38000000.0,-516000000.0,267000000.0,2000000.0,-207000000.0
Total Cashflows From Investing Activities,-636000000.0,-1655000000.0,-1272000000.0,278000000.0,-765000000.0,-1192000000.0
Net Borrowings,-4281000000.0,-2734000000.0,-681000000.0,-982000000.0,-886000000.0,-1727000000.0
Total Cash From Financing Activities,-4595000000.0,-3900000000.0,-1829000000.0,-1508000000.0,-817000000.0,-1718000000.0
Change To Operating Activities,521000000.0,1290000000.0,-398000000.0,-130000000.0,153000000.0,-226000000.0
Issuance Of Stock,235000000.0,220000000.0,118000000.0,141000000.0,134000000.0,122000000.0
Net Income,397000000.0,675000000.0,-754000000.0,-250000000.0,821000000.0,1500000000.0
Change In Cash,-1797000000.0,-1349000000.0,-1550000000.0,-407000000.0,322000000.0,-1043000000.0
Repurchase Of Stock,-124000000.0,-762000000.0,-678000000.0,-72000000.0,-56000000.0,-90000000.0
Effect Of Exchange Rate,-3000000.0,1000000.0,4000000.0,-1000000.0,6000000.0,-13000000.0
Total Cash From Operating Activities,3437000000.0,4205000000.0,1547000000.0,824000000.0,1898000000.0,1880000000.0
Depreciation,2128000000.0,2056000000.0,1812000000.0,1566000000.0,1212000000.0,929000000.0
Other Cashflows From Investing Activities,-257000000.0,-742000000.0,-598000000.0,931000000.0,231000000.0,-91000000.0
Change To Inventory,-204000000.0,-598000000.0,-339000000.0,200000000.0,-546000000.0,-22000000.0
Change To Account Receivables,-487000000.0,-244000000.0,993000000.0,-1175000000.0,121000000.0,-546000000.0
Other Cashflows From Financing Activities,149000000.0,-31000000.0,-4000000.0,-9000000.0,-9000000.0,-23000000.0
Change To Netincome,536000000.0,767000000.0,711000000.0,225000000.0,482000000.0,482000000.0
Capital Expenditures,-578000000.0,-835000000.0,-876000000.0,-647000000.0,-1146000000.0,-1122000000.0
Dividends Paid,-574000000.0,-593000000.0,-584000000.0,-595000000.0,,
