,2017-12-31,2018-12-31,2019-12-31,2020-12-31
Capital Surplus,8500000.0,3000000.0,67200000.0,61900000.0
Total Liab,813600000.0,1018800000.0,1134300000.0,1231500000.0
Total Stockholder Equity,2096900000.0,2302700000.0,2665600000.0,2733200000.0
Total Assets,2910500000.0,3321500000.0,3799900000.0,3964700000.0
Common Stock,2900000.0,2900000.0,2900000.0,2900000.0
Other Current Assets,118100000.0,156000000.0,174100000.0,147000000.0
Retained Earnings,2110600000.0,2341600000.0,2633900000.0,2689600000.0
Other Liab,50600000.0,84400000.0,99400000.0,102300000.0
Treasury Stock,-25100000.0,-44800000.0,-38400000.0,-21200000.0
Other Assets,81200000.0,80500000.0,76300000.0,191400000.0
Cash,116900000.0,167200000.0,174900000.0,245700000.0
Total Current Liabilities,351000000.0,437400000.0,544700000.0,612700000.0
Short Long Term Debt,3000000.0,3000000.0,3000000.0,40000000.0
Other Stockholder Equity,-25100000.0,-44800000.0,-38400000.0,-21200000.0
Property Plant Equipment,893600000.0,924800000.0,1266400000.0,1273700000.0
Total Current Assets,1935700000.0,2316200000.0,2457200000.0,2499600000.0
Net Tangible Assets,2096900000.0,2302700000.0,2665600000.0,2733200000.0
Net Receivables,607800000.0,714300000.0,741800000.0,769400000.0
Long Term Debt,412000000.0,497000000.0,342000000.0,365000000.0
Inventory,1092900000.0,1278700000.0,1366400000.0,1337500000.0
Accounts Payable,147500000.0,193600000.0,192800000.0,207000000.0
Other Current Liab,6500000.0,,,
