,2020-08-01,2020-10-31,2021-01-30,2021-05-01,2021-07-31,2021-10-30,2022-01-29
Intangible Assets,341000000.0,321000000.0,301000000.0,281000000.0,261000000.0,241000000.0,275000000.0
Total Liab,13634000000.0,17116000000.0,14480000000.0,13547000000.0,14244000000.0,15824000000.0,14484000000.0
Total Stockholder Equity,3778000000.0,4086000000.0,4587000000.0,4158000000.0,4335000000.0,4278000000.0,3020000000.0
Other Current Liab,1030000000.0,1137000000.0,1099000000.0,1110000000.0,1226000000.0,1371000000.0,1502000000.0
Total Assets,17412000000.0,21202000000.0,19067000000.0,17705000000.0,18579000000.0,20102000000.0,17504000000.0
Common Stock,26000000.0,26000000.0,26000000.0,25000000.0,25000000.0,24000000.0,23000000.0
Other Current Assets,210000000.0,247000000.0,308000000.0,294000000.0,335000000.0,486000000.0,596000000.0
Retained Earnings,3413000000.0,3659000000.0,4233000000.0,3762000000.0,3975000000.0,3917000000.0,2668000000.0
Other Liab,716000000.0,798000000.0,694000000.0,694000000.0,554000000.0,553000000.0,533000000.0
Good Will,986000000.0,986000000.0,986000000.0,986000000.0,986000000.0,986000000.0,1384000000.0
Treasury Stock,256000000.0,268000000.0,328000000.0,338000000.0,335000000.0,337000000.0,329000000.0
Other Assets,240000000.0,292000000.0,277000000.0,309000000.0,317000000.0,353000000.0,352000000.0
Cash,5305000000.0,5136000000.0,5494000000.0,4278000000.0,4340000000.0,3465000000.0,2936000000.0
Total Current Liabilities,10080000000.0,12945000000.0,10521000000.0,9641000000.0,10357000000.0,11946000000.0,10674000000.0
Deferred Long Term Asset Charges,,,17000000.0,,,,25000000.0
Other Stockholder Equity,256000000.0,268000000.0,328000000.0,338000000.0,335000000.0,337000000.0,329000000.0
Property Plant Equipment,5047000000.0,4957000000.0,4872000000.0,4796000000.0,4896000000.0,4944000000.0,4904000000.0
Total Current Assets,10683000000.0,14551000000.0,12540000000.0,11268000000.0,12040000000.0,13520000000.0,10539000000.0
Long Term Investments,115000000.0,95000000.0,91000000.0,65000000.0,79000000.0,58000000.0,50000000.0
Net Tangible Assets,2451000000.0,2779000000.0,3300000000.0,2891000000.0,3088000000.0,3051000000.0,1361000000.0
Net Receivables,906000000.0,1028000000.0,1061000000.0,850000000.0,883000000.0,1016000000.0,1042000000.0
Long Term Debt,597000000.0,1219000000.0,1229000000.0,1203000000.0,1217000000.0,1197000000.0,1189000000.0
Inventory,4136000000.0,7459000000.0,5612000000.0,5721000000.0,6417000000.0,8553000000.0,5965000000.0
Accounts Payable,6613000000.0,9110000000.0,6979000000.0,6360000000.0,6946000000.0,8405000000.0,6803000000.0
Short Term Investments,108000000.0,674000000.0,65000000.0,125000000.0,65000000.0,,
Capital Surplus,83000000.0,133000000.0,,33000000.0,,,
Short Long Term Debt,681000000.0,670000000.0,,,,,
