,2018-03-31,2019-03-30,2020-03-28,2021-04-03,2022-04-02
Change To Liabilities,38952000.0,15167000.0,15425000.0,34201000.0,33950000.0
Total Cashflows From Investing Activities,-277409000.0,-247554000.0,-1105742000.0,-218658000.0,-595956000.0
Net Borrowings,-7729000.0,-145330000.0,659000000.0,118756000.0,301570000.0
Total Cash From Financing Activities,-196848000.0,-776664000.0,165559000.0,-401923000.0,-875510000.0
Change To Operating Activities,29923000.0,-1334000.0,19008000.0,-8597000.0,-210520000.0
Issuance Of Stock,57412000.0,41289000.0,50198000.0,42598000.0,38303000.0
Net Income,-40288000.0,133125000.0,334325000.0,733611000.0,1033353000.0
Change In Cash,380623000.0,-215020000.0,4230000.0,682697000.0,-425504000.0
Repurchase Of Stock,-244615000.0,-662909000.0,-536922000.0,-553742000.0,-1205669000.0
Effect Of Exchange Rate,2360000.0,-1166000.0,-1233000.0,1425000.0,-3281000.0
Total Cash From Operating Activities,852520000.0,810364000.0,945646000.0,1301853000.0,1049243000.0
Depreciation,714215000.0,663097000.0,468931000.0,456104000.0,361415000.0
Other Cashflows From Investing Activities,-7574000.0,-27017000.0,4405000.0,15371000.0,6646000.0
Change To Inventory,-41887000.0,-39590000.0,10252000.0,9390000.0,-236196000.0
Change To Account Receivables,12906000.0,-32119000.0,21029000.0,-91275000.0,-107896000.0
Other Cashflows From Financing Activities,-1916000.0,-9714000.0,-6717000.0,-9535000.0,-9714000.0
Change To Netincome,87898000.0,110224000.0,63741000.0,133801000.0,178276000.0
Capital Expenditures,-269835000.0,-220937000.0,-164104000.0,-186960000.0,-213466000.0
Investments,400000.0,400000.0,,,
