,2017-06-30,2018-06-30,2019-06-30,2020-06-30,2021-06-30,2022-06-30
Investments,-1800000.0,-2000000.0,-2000000.0,-3000000.0,-103000000.0,-22000000.0
Change To Liabilities,9900000.0,32300000.0,36000000.0,72000000.0,50000000.0,37000000.0
Total Cashflows From Investing Activities,-309000000.0,-919300000.0,-1510000000.0,-827000000.0,-649000000.0,-1884000000.0
Net Borrowings,173100000.0,420600000.0,150000000.0,49000000.0,99000000.0,1022000000.0
Total Cash From Financing Activities,161300000.0,669100000.0,1201000000.0,1002000000.0,142000000.0,1031000000.0
Change To Operating Activities,46700000.0,11900000.0,-43000000.0,33000000.0,-36000000.0,-448000000.0
Issuance Of Stock,277800000.0,277800000.0,445000000.0,1046000000.0,120000000.0,26000000.0
Net Income,109800000.0,83600000.0,137000000.0,221000000.0,585000000.0,519000000.0
Change In Cash,156700000.0,121900000.0,-65000000.0,608000000.0,-57000000.0,-447000000.0
Repurchase Of Stock,-5400000.0,-13700000.0,-15000000.0,-32000000.0,-46000000.0,-10000000.0
Effect Of Exchange Rate,4900000.0,-2400000.0,-4000000.0,-7000000.0,17000000.0,-33000000.0
Total Cash From Operating Activities,299500000.0,374500000.0,248000000.0,440000000.0,433000000.0,439000000.0
Depreciation,146500000.0,190100000.0,229000000.0,254000000.0,289000000.0,378000000.0
Dividends Paid,-36200000.0,-36000000.0,-36000000.0,-36000000.0,-22000000.0,-4000000.0
Change To Inventory,-13500000.0,-1800000.0,-34000000.0,-76000000.0,-260000000.0,-128000000.0
Change To Account Receivables,-54900000.0,-33600000.0,-119000000.0,-151000000.0,-186000000.0,-73000000.0
Other Cashflows From Financing Activities,-6400000.0,-15600000.0,-29000000.0,-25000000.0,-9000000.0,-3000000.0
Change To Netincome,48200000.0,87300000.0,28000000.0,75000000.0,-20000000.0,147000000.0
Capital Expenditures,-139800000.0,-176500000.0,-218000000.0,-466000000.0,-686000000.0,-660000000.0
