,2017-12-31,2018-12-30,2019-12-29,2021-01-03
Intangible Assets,175000000.0,185000000.0,145000000.0,142000000.0
Capital Surplus,2833000000.0,3290000000.0,3560000000.0,3815000000.0
Total Liab,2288000000.0,3053000000.0,2703000000.0,2891000000.0
Total Stockholder Equity,2749000000.0,3758000000.0,4613000000.0,4694000000.0
Other Current Liab,361000000.0,276000000.0,267000000.0,267000000.0
Total Assets,5257000000.0,6959000000.0,7316000000.0,7585000000.0
Common Stock,2000000.0,2000000.0,2000000.0,2000000.0
Retained Earnings,2256000000.0,3083000000.0,4067000000.0,4723000000.0
Other Liab,360000000.0,359000000.0,202000000.0,303000000.0
Good Will,771000000.0,831000000.0,824000000.0,897000000.0
Treasury Stock,-2342000000.0,-2617000000.0,-3016000000.0,-3846000000.0
Other Assets,134000000.0,118000000.0,179000000.0,191000000.0
Cash,1225000000.0,1144000000.0,2042000000.0,1810000000.0
Total Current Liabilities,746000000.0,1804000000.0,665000000.0,1244000000.0
Deferred Long Term Asset Charges,88000000.0,70000000.0,64000000.0,20000000.0
Short Long Term Debt,10000000.0,1107000000.0,,511000000.0
Other Stockholder Equity,-1000000.0,-1000000.0,5000000.0,2000000.0
Property Plant Equipment,931000000.0,1075000000.0,1444000000.0,1454000000.0
Total Current Assets,2980000000.0,4490000000.0,4451000000.0,4483000000.0
Long Term Investments,266000000.0,260000000.0,273000000.0,418000000.0
Net Tangible Assets,1803000000.0,2742000000.0,3644000000.0,3655000000.0
Short Term Investments,920000000.0,2368000000.0,1372000000.0,1662000000.0
Net Receivables,411000000.0,514000000.0,573000000.0,487000000.0
Long Term Debt,1069000000.0,621000000.0,1141000000.0,673000000.0
Inventory,333000000.0,386000000.0,359000000.0,372000000.0
Accounts Payable,160000000.0,184000000.0,149000000.0,192000000.0
Minority Interest,220000000.0,148000000.0,,
