,2017-12-31,2018-12-31,2019-12-31,2020-12-31
Capital Surplus,7379000000.0,7238000000.0,7207000000.0,7174000000.0
Total Liab,10304000000.0,9193000000.0,8092000000.0,7395000000.0
Total Stockholder Equity,11708000000.0,12128000000.0,12153000000.0,10561000000.0
Other Current Liab,465000000.0,358000000.0,225000000.0,249000000.0
Total Assets,22012000000.0,21321000000.0,20245000000.0,17956000000.0
Common Stock,937000000.0,937000000.0,937000000.0,937000000.0
Other Current Assets,47000000.0,284000000.0,83000000.0,47000000.0
Retained Earnings,6779000000.0,7706000000.0,7993000000.0,6466000000.0
Other Liab,2842000000.0,1862000000.0,739000000.0,695000000.0
Treasury Stock,-3387000000.0,-3753000000.0,-3984000000.0,-4016000000.0
Other Assets,819000000.0,754000000.0,151000000.0,97000000.0
Cash,563000000.0,1462000000.0,858000000.0,742000000.0
Total Current Liabilities,1968000000.0,1832000000.0,1745000000.0,1213000000.0
Other Stockholder Equity,-62000000.0,63000000.0,105000000.0,73000000.0
Property Plant Equipment,17665000000.0,16804000000.0,17199000000.0,15771000000.0
Total Current Assets,2566000000.0,2921000000.0,2135000000.0,1612000000.0
Long Term Investments,847000000.0,745000000.0,665000000.0,476000000.0
Net Tangible Assets,11593000000.0,12031000000.0,12058000000.0,10561000000.0
Net Receivables,1830000000.0,1079000000.0,1122000000.0,747000000.0
Long Term Debt,5494000000.0,5499000000.0,5501000000.0,5420000000.0
Inventory,126000000.0,96000000.0,72000000.0,76000000.0
Accounts Payable,1395000000.0,1320000000.0,1307000000.0,837000000.0
Good Will,115000000.0,97000000.0,95000000.0,
Deferred Long Term Asset Charges,489000000.0,393000000.0,,
