,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31
Change To Liabilities,-112000000.0,-98000000.0,-218000000.0,-93000000.0,-88000000.0,-59000000.0,-21000000.0,-38000000.0
Total Cashflows From Investing Activities,-959000000.0,-942000000.0,-724000000.0,-675000000.0,-620000000.0,-654000000.0,-763000000.0,-569000000.0
Net Borrowings,-320000000.0,-1806000000.0,-802000000.0,-435000000.0,-298000000.0,-140000000.0,-794000000.0,-474000000.0
Total Cash From Financing Activities,-597000000.0,-2089000000.0,-1078000000.0,-774000000.0,-576000000.0,-1318000000.0,-1139000000.0,-776000000.0
Change To Operating Activities,176000000.0,107000000.0,81000000.0,-253000000.0,65000000.0,36000000.0,124000000.0,-386000000.0
Net Income,377000000.0,366000000.0,-2289000000.0,475000000.0,506000000.0,544000000.0,508000000.0,599000000.0
Change In Cash,193000000.0,-1237000000.0,-120000000.0,76000000.0,443000000.0,-242000000.0,-295000000.0,30000000.0
Total Cash From Operating Activities,1749000000.0,1794000000.0,1682000000.0,1525000000.0,1639000000.0,1730000000.0,1607000000.0,1375000000.0
Depreciation,1162000000.0,1193000000.0,1195000000.0,1150000000.0,1041000000.0,933000000.0,874000000.0,808000000.0
Other Cashflows From Investing Activities,1000000.0,11000000.0,6000000.0,6000000.0,-5000000.0,12000000.0,40000000.0,2000000.0
Dividends Paid,-271000000.0,-275000000.0,-272000000.0,-294000000.0,-274000000.0,-266000000.0,-253000000.0,-271000000.0
Change To Account Receivables,-62000000.0,-32000000.0,149000000.0,45000000.0,-41000000.0,16000000.0,-28000000.0,131000000.0
Other Cashflows From Financing Activities,-6000000.0,-8000000.0,-4000000.0,-45000000.0,-4000000.0,-3000000.0,-1000000.0,-31000000.0
Change To Netincome,195000000.0,165000000.0,2827000000.0,170000000.0,216000000.0,224000000.0,226000000.0,227000000.0
Capital Expenditures,-1009000000.0,-988000000.0,-758000000.0,-716000000.0,-646000000.0,-690000000.0,-848000000.0,-577000000.0
Repurchase Of Stock,,,-909000000.0,-909000000.0,-909000000.0,-909000000.0,-91000000.0,
