,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31
Intangible Assets,699000000.0,665000000.0,640000000.0,594000000.0,564000000.0,529000000.0,492000000.0
Capital Surplus,6144000000.0,6216000000.0,6312000000.0,6348000000.0,6381000000.0,6529000000.0,6624000000.0
Total Liab,28300000000.0,27739000000.0,28531000000.0,27814000000.0,30013000000.0,29517000000.0,30759000000.0
Total Stockholder Equity,3601000000.0,3542000000.0,3495000000.0,4260000000.0,4462000000.0,2209000000.0,1061000000.0
Minority Interest,94000000.0,78000000.0,88000000.0,101000000.0,105000000.0,90000000.0,97000000.0
Deferred Long Term Liab,172000000.0,176000000.0,184000000.0,185000000.0,175000000.0,174000000.0,179000000.0
Other Current Liab,14897000000.0,14566000000.0,14735000000.0,14973000000.0,16994000000.0,15148000000.0,15504000000.0
Total Assets,31995000000.0,31359000000.0,32114000000.0,32175000000.0,34580000000.0,31816000000.0,31917000000.0
Common Stock,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0
Other Current Assets,14152000000.0,13927000000.0,14318000000.0,14325000000.0,16238000000.0,14645000000.0,15072000000.0
Retained Earnings,1751000000.0,1423000000.0,1042000000.0,1801000000.0,1823000000.0,-445000000.0,-1694000000.0
Other Liab,2663000000.0,2636000000.0,2855000000.0,2815000000.0,2918000000.0,2889000000.0,2640000000.0
Good Will,8356000000.0,8462000000.0,8666000000.0,8587000000.0,8659000000.0,8547000000.0,8434000000.0
Treasury Stock,-4296000000.0,-4099000000.0,-3861000000.0,-3891000000.0,-3744000000.0,-3877000000.0,-3871000000.0
Other Assets,2242000000.0,2306000000.0,2451000000.0,2482000000.0,2479000000.0,2501000000.0,2517000000.0
Cash,706700000.0,778200000.0,824700000.0,781900000.0,1045300000.0,562300000.0,496800000.0
Total Current Liabilities,17383000000.0,16870000000.0,17433000000.0,16823000000.0,18927000000.0,17510000000.0,19073000000.0
Deferred Long Term Asset Charges,654000000.0,655000000.0,724000000.0,721000000.0,738000000.0,761000000.0,766000000.0
Short Long Term Debt,399000000.0,400000000.0,400000000.0,,,,499000000.0
Other Stockholder Equity,-4296000000.0,-4099000000.0,-3861000000.0,-3891000000.0,-3744000000.0,-3877000000.0,-3871000000.0
Property Plant Equipment,1657000000.0,1618000000.0,1599000000.0,1533000000.0,1524000000.0,1434000000.0,1378000000.0
Total Current Assets,18990000000.0,18249000000.0,18684000000.0,18905000000.0,21276000000.0,18740000000.0,19032000000.0
Long Term Investments,51000000.0,59000000.0,74000000.0,74000000.0,78000000.0,65000000.0,64000000.0
Net Tangible Assets,-5454000000.0,-5585000000.0,-5811000000.0,-4921000000.0,-4761000000.0,-6867000000.0,-7865000000.0
Short Term Investments,601300000.0,390800000.0,265300000.0,109100000.0,226700000.0,194700000.0,179200000.0
Net Receivables,3397000000.0,3037000000.0,3165000000.0,3571000000.0,3630000000.0,3192000000.0,3147000000.0
Long Term Debt,7229000000.0,7251000000.0,7281000000.0,7263000000.0,7272000000.0,8250000000.0,8228000000.0
Accounts Payable,1488000000.0,1608000000.0,2016000000.0,1628000000.0,1692000000.0,1995000000.0,2192000000.0
