,2017-12-31,2018-12-31,2019-12-31,2020-12-31,2021-12-31
Investments,,38345000.0,38345000.0,38345000.0,38345000.0
Change To Liabilities,26096000.0,18695000.0,24056000.0,19720000.0,3219000.0
Total Cashflows From Investing Activities,-1254507000.0,-1639684000.0,-3501809000.0,-2032379000.0,-6437695000.0
Net Borrowings,158316000.0,391729000.0,1258205000.0,872986000.0,840686000.0
Total Cash From Financing Activities,375118000.0,707871000.0,2492602000.0,1692079000.0,4577120000.0
Issuance Of Stock,1396566000.0,1134478000.0,2118016000.0,1832930000.0,4453957000.0
Net Income,318798000.0,363614000.0,436482000.0,395486000.0,359456000.0
Change In Cash,-3539000.0,8929000.0,49934000.0,779674000.0,-518310000.0
Effect Of Exchange Rate,-9796000.0,-9796000.0,-9796000.0,4431000.0,20076000.0
Total Cash From Operating Activities,875850000.0,940742000.0,1068937000.0,1115543000.0,1322189000.0
Depreciation,512801000.0,556680000.0,616061000.0,707938000.0,952435000.0
Other Cashflows From Investing Activities,6911000.0,7448000.0,-14603000.0,-28390000.0,-28390000.0
Dividends Paid,-695462000.0,-761582000.0,-852134000.0,-964167000.0,-1169026000.0
Change To Account Receivables,-92000.0,-6901000.0,-8954000.0,-79240000.0,-38292000.0
Other Cashflows From Financing Activities,-75552000.0,-54002000.0,-10362000.0,-49670000.0,451503000.0
Change To Netincome,9973000.0,-367000.0,-8503000.0,60636000.0,33038000.0
Repurchase Of Stock,-2752000.0,-2752000.0,-21123000.0,,
