,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30
Change To Liabilities,-1088300000.0,-261400000.0,-720900000.0,-2018100000.0,-2218700000.0,-1065200000.0,-573500000.0,-770100000.0,0.0
Total Cashflows From Investing Activities,-291000000.0,-86000000.0,-36100000.0,-131200000.0,-83800000.0,-364400000.0,-246700000.0,-83800000.0,-76700000.0
Total Cash From Financing Activities,-25000000.0,-301600000.0,-55600000.0,137800000.0,-482700000.0,359100000.0,103100000.0,-55300000.0,-477700000.0
Net Income,99700000.0,250900000.0,270300000.0,327000000.0,427500000.0,389300000.0,486000000.0,256900000.0,180200000.0
Change In Cash,41700000.0,49400000.0,518700000.0,-43400000.0,-58800000.0,572400000.0,-162400000.0,-533000000.0,-481300000.0
Effect Of Exchange Rate,10300000.0,35300000.0,46400000.0,-14400000.0,-23300000.0,-23300000.0,-2000000.0,-23200000.0,-50000000.0
Total Cash From Operating Activities,337900000.0,401800000.0,567600000.0,-26900000.0,507700000.0,601000000.0,-3700000.0,-375400000.0,123100000.0
Depreciation,50300000.0,51600000.0,53200000.0,51100000.0,52800000.0,51000000.0,50400000.0,49500000.0,14800000.0
Other Cashflows From Investing Activities,21400000.0,26800000.0,1900000.0,,,-76700000.0,-76700000.0,-76700000.0,-76700000.0
Other Cashflows From Financing Activities,293600000.0,70400000.0,171500000.0,313200000.0,-342000000.0,507600000.0,243900000.0,314200000.0,-477700000.0
Change To Netincome,43900000.0,-27400000.0,-64600000.0,-43000000.0,-32000000.0,-14600000.0,-45300000.0,80300000.0,-71900000.0
Investments,-284400000.0,-86400000.0,3400000.0,-110900000.0,-56900000.0,-338400000.0,-211100000.0,-59900000.0,
Change To Operating Activities,64100000.0,-21100000.0,85900000.0,-86800000.0,-69100000.0,79300000.0,-251200000.0,-129700000.0,
Repurchase Of Stock,-3400000.0,-5800000.0,-6400000.0,-44700000.0,-2900000.0,-10500000.0,-2800000.0,-232500000.0,
Dividends Paid,-132800000.0,-130600000.0,-130700000.0,-130700000.0,-137800000.0,-138000000.0,-138000000.0,-137000000.0,
Change To Account Receivables,1168200000.0,409200000.0,943700000.0,1742900000.0,2347200000.0,1161200000.0,329900000.0,137700000.0,
Capital Expenditures,-28000000.0,-26400000.0,-41400000.0,-20300000.0,-26900000.0,-26000000.0,-35600000.0,-23900000.0,
Net Borrowings,-182400000.0,-235600000.0,-90000000.0,,,,,,
