,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31
Change To Liabilities,-172684000.0,-80805000.0,-12597000.0,369665000.0,-199297000.0,-23752000.0,-31723000.0,287449000.0
Total Cashflows From Investing Activities,-4760000.0,-14810000.0,-104737000.0,-9522000.0,-22973000.0,-9615000.0,-807504000.0,-9159000.0
Net Borrowings,-147349000.0,-98974000.0,75997000.0,17071000.0,-10135000.0,-58769000.0,821387000.0,321508000.0
Total Cash From Financing Activities,-169645000.0,-122367000.0,55790000.0,-75194000.0,-55867000.0,-136704000.0,793896000.0,228717000.0
Change To Operating Activities,79250000.0,1461000.0,-3214000.0,-5140000.0,46948000.0,42861000.0,13242000.0,-84068000.0
Issuance Of Stock,4453000.0,5885000.0,3128000.0,2912000.0,5006000.0,3606000.0,5673000.0,3135000.0
Net Income,157555000.0,119098000.0,59173000.0,98655000.0,259695000.0,184665000.0,107609000.0,179261000.0
Change In Cash,26377000.0,30564000.0,-40621000.0,-7050000.0,31387000.0,25010000.0,-59154000.0,11044000.0
Repurchase Of Stock,-3584000.0,-5991000.0,-5000.0,-71516000.0,-18619000.0,-47840000.0,-64000.0,-62420000.0
Effect Of Exchange Rate,-690000.0,27000.0,-341000.0,553000.0,112000.0,-508000.0,29000.0,-405000.0
Total Cash From Operating Activities,201472000.0,167714000.0,8667000.0,77113000.0,110115000.0,171837000.0,-45575000.0,-208109000.0
Depreciation,7311000.0,7306000.0,7013000.0,7305000.0,7302000.0,7484000.0,7496000.0,9855000.0
Dividends Paid,-23165000.0,-23287000.0,-23330000.0,-23299000.0,-32119000.0,-32091000.0,-32072000.0,-32132000.0
Change To Inventory,232055000.0,24568000.0,-142214000.0,-200185000.0,85393000.0,-152549000.0,-257866000.0,-306582000.0
Change To Account Receivables,-104964000.0,94377000.0,96441000.0,-199672000.0,-95670000.0,108570000.0,106832000.0,-303400000.0
Other Cashflows From Financing Activities,-362000.0,-362000.0,-362000.0,-362000.0,-1610000.0,-1610000.0,-1028000.0,-1374000.0
Change To Netincome,2949000.0,1709000.0,3634000.0,6485000.0,5744000.0,4558000.0,8396000.0,9376000.0
Capital Expenditures,-4691000.0,-3866000.0,-4805000.0,-8839000.0,-8494000.0,-6890000.0,-13435000.0,-9159000.0
