,2020-05-31,2019-05-26,2018-05-27,2017-05-28
Investments,-22600000.0,-22600000.0,-22600000.0,-22600000.0
Change To Liabilities,-34900000.0,32900000.0,-8300000.0,12100000.0
Total Cashflows From Investing Activities,-346000000.0,-423000000.0,-306800000.0,-285300000.0
Net Borrowings,1277100000.0,-67700000.0,-53600000.0,771500000.0
Total Cash From Financing Activities,1125000000.0,-299600000.0,-178900000.0,-142000000.0
Change To Operating Activities,-18100000.0,-18100000.0,-4000000.0,23400000.0
Net Income,365900000.0,478600000.0,416800000.0,326900000.0
Change In Cash,1351800000.0,-43400000.0,-1500000.0,20700000.0
Repurchase Of Stock,-28900000.0,-36400000.0,-2700000.0,-200000.0
Effect Of Exchange Rate,-1200000.0,-1700000.0,3000000.0,1100000.0
Total Cash From Operating Activities,574000000.0,680900000.0,481200000.0,446900000.0
Depreciation,177800000.0,157700000.0,138700000.0,106600000.0
Other Cashflows From Investing Activities,-39000000.0,-200000.0,-200000.0,2100000.0
Dividends Paid,-121300000.0,-113300000.0,-110200000.0,-27400000.0
Change To Inventory,15300000.0,-15800000.0,-23600000.0,-26100000.0
Change To Account Receivables,1100000.0,-25100000.0,-40400000.0,1200000.0
Other Cashflows From Financing Activities,-1900000.0,-82200000.0,-12400000.0,-885900000.0
Change To Netincome,58000000.0,64300000.0,-16300000.0,16400000.0
Capital Expenditures,-167700000.0,-334200000.0,-306800000.0,-287400000.0
