,2017-12-30,2018-12-29,2019-12-28,2021-01-02,2022-01-01
Change To Liabilities,-197168000.0,285493000.0,245785000.0,216488000.0,281064000.0
Total Cashflows From Investing Activities,-178639000.0,-191827000.0,-462939000.0,-266897000.0,-287314000.0
Total Cash From Financing Activities,-14872000.0,-263915000.0,-882153000.0,-285997000.0,-1064112000.0
Change To Operating Activities,-34620000.0,29233000.0,-57870000.0,62938000.0,-24152000.0
Issuance Of Stock,4076000.0,3200000.0,3334000.0,3270000.0,3074000.0
Net Income,475505000.0,423847000.0,486896000.0,493021000.0,616108000.0
Change In Cash,411759000.0,349590000.0,-477862000.0,416327000.0,-233564000.0
Repurchase Of Stock,-6498000.0,-281354000.0,-498435000.0,-469691000.0,-906208000.0
Effect Of Exchange Rate,4465000.0,-5696000.0,321000.0,-467000.0,5600000.0
Total Cash From Operating Activities,600805000.0,811028000.0,866909000.0,969688000.0,1112262000.0
Depreciation,249260000.0,238184000.0,238371000.0,250081000.0,259933000.0
Dividends Paid,-17854000.0,-17819000.0,-17185000.0,-56347000.0,-160925000.0
Change To Inventory,167548000.0,-206125000.0,-63130000.0,-101449000.0,-120272000.0
Change To Account Receivables,36047000.0,-21471000.0,-62837000.0,-59014000.0,-32652000.0
Other Cashflows From Financing Activities,-8600000.0,44000.0,-481000.0,-7753000.0,-53000.0
Change To Netincome,-95767000.0,61867000.0,79694000.0,107623000.0,132233000.0
Capital Expenditures,-189758000.0,-193715000.0,-270129000.0,-267576000.0,-289639000.0
Net Borrowings,14004000.0,32014000.0,-369386000.0,244524000.0,
Other Cashflows From Investing Activities,20000.0,,,,
