,2017-12-31,2018-12-31,2019-12-31,2020-12-31,2021-12-31
Investments,-8900000.0,-15600000.0,-52000000.0,-1400000.0,-1100000.0
Change To Liabilities,-218400000.0,-197600000.0,12800000.0,18500000.0,23100000.0
Total Cashflows From Investing Activities,-511000000.0,-910300000.0,-1448500000.0,-471400000.0,-3431700000.0
Net Borrowings,260600000.0,507900000.0,999200000.0,-79100000.0,1759000000.0
Total Cash From Financing Activities,-47800000.0,162000000.0,638400000.0,-505100000.0,2684100000.0
Change To Operating Activities,188000000.0,707900000.0,563900000.0,1238500000.0,167300000.0
Issuance Of Stock,60400000.0,81900000.0,101200000.0,111900000.0,1546700000.0
Net Income,481300000.0,633500000.0,668800000.0,818800000.0,906800000.0
Change In Cash,367400000.0,-68200000.0,387100000.0,950400000.0,892000000.0
Effect Of Exchange Rate,72000000.0,-85000000.0,6100000.0,119800000.0,-64500000.0
Total Cash From Operating Activities,854200000.0,765100000.0,1191100000.0,1807100000.0,1704100000.0
Depreciation,379600000.0,408400000.0,474300000.0,510700000.0,548700000.0
Dividends Paid,-282700000.0,-301800000.0,-321100000.0,-347400000.0,-392000000.0
Change To Account Receivables,-47700000.0,-783100000.0,-434700000.0,-796500000.0,132900000.0
Other Cashflows From Financing Activities,-68400000.0,-114700000.0,-140900000.0,-190500000.0,-229600000.0
Change To Netincome,69400000.0,42000000.0,-129500000.0,-34700000.0,49100000.0
Capital Expenditures,-129200000.0,-124400000.0,-138800000.0,-99300000.0,-128600000.0
Repurchase Of Stock,-17700000.0,-11300000.0,,,
