,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30
Total Stockholder Equity,3133100000.0,3205400000.0,3246300000.0,3331200000.0,3444300000.0,3608300000.0,3607200000.0,3607200000.0,3964500000.0,3964500000.0
Net Tangible Assets,1954700000.0,2036500000.0,2082100000.0,2181400000.0,2303800000.0,2477100000.0,2372000000.0,2372000000.0,2754700000.0,2754700000.0
Intangible Assets,314900000.0,305400000.0,300700000.0,286300000.0,277000000.0,267700000.0,311700000.0,298200000.0,287300000.0,
Capital Surplus,542700000.0,548700000.0,554400000.0,566000000.0,574500000.0,581300000.0,579400000.0,591700000.0,601000000.0,
Total Liab,4138900000.0,4167200000.0,4186900000.0,4217800000.0,4229300000.0,5022500000.0,4229600000.0,4358500000.0,4376100000.0,
Other Current Liab,76500000.0,94000000.0,97000000.0,120200000.0,98000000.0,97300000.0,96300000.0,135100000.0,125200000.0,
Total Assets,7272000000.0,7372600000.0,7433200000.0,7549000000.0,7673600000.0,8630800000.0,7836800000.0,8137800000.0,8340600000.0,
Common Stock,900000.0,900000.0,900000.0,1000000.0,1000000.0,1000000.0,900000.0,900000.0,900000.0,
Retained Earnings,2742900000.0,2806700000.0,2835500000.0,2906300000.0,3008500000.0,3162800000.0,3102100000.0,3261900000.0,3437000000.0,
Other Liab,790600000.0,726100000.0,736900000.0,748000000.0,746900000.0,722400000.0,681300000.0,703800000.0,708000000.0,
Good Will,863500000.0,863500000.0,863500000.0,863500000.0,863500000.0,863500000.0,923500000.0,923100000.0,922500000.0,
Treasury Stock,-153400000.0,-150900000.0,-144500000.0,-142100000.0,-139700000.0,-136800000.0,-75200000.0,-75200000.0,-74400000.0,
Other Assets,53900000.0,52200000.0,48400000.0,51300000.0,48600000.0,45800000.0,41600000.0,43500000.0,42500000.0,
Cash,853300000.0,949100000.0,974600000.0,983400000.0,972200000.0,1702900000.0,618700000.0,628600000.0,667300000.0,
Total Current Liabilities,683600000.0,775400000.0,782600000.0,805800000.0,816800000.0,1644400000.0,884800000.0,967900000.0,972900000.0,
Other Stockholder Equity,-153400000.0,-150900000.0,-144500000.0,-142100000.0,-139700000.0,-136800000.0,-75200000.0,-75200000.0,-74400000.0,
Property Plant Equipment,3344400000.0,3362600000.0,3427600000.0,3444000000.0,3473500000.0,3591200000.0,3767300000.0,3935100000.0,4036700000.0,
Total Current Assets,2659000000.0,2743700000.0,2750300000.0,2856900000.0,2961100000.0,3804800000.0,2732700000.0,2869400000.0,2990400000.0,
Long Term Investments,36300000.0,45200000.0,42700000.0,47000000.0,49900000.0,57800000.0,60000000.0,68500000.0,61200000.0,
Short Term Investments,86900000.0,101200000.0,105600000.0,102500000.0,101700000.0,88300000.0,86100000.0,81300000.0,82300000.0,
Net Receivables,823400000.0,864600000.0,837500000.0,908600000.0,981400000.0,1078100000.0,1078400000.0,1140700000.0,1212000000.0,
Long Term Debt,2478000000.0,2478700000.0,2479400000.0,2480000000.0,2479800000.0,2471100000.0,2471500000.0,2472000000.0,2472600000.0,
Inventory,834500000.0,777600000.0,787900000.0,799600000.0,827200000.0,880100000.0,902500000.0,941200000.0,954200000.0,
Accounts Payable,315200000.0,352100000.0,387000000.0,402500000.0,405300000.0,499100000.0,452400000.0,546700000.0,528200000.0,
Deferred Long Term Liab,,,20300000.0,,,,21000000.0,,,
Short Long Term Debt,,,,,,698100000.0,,,,
