,2017-06-30,2018-06-30,2019-06-30,2020-06-30,2021-06-30,2022-06-30
Investments,111000000.0,56000000.0,-15000000.0,866000000.0,25000000.0,-49000000.0
Change To Liabilities,564000000.0,2574000000.0,1864000000.0,-162000000.0,2325000000.0,3428000000.0
Total Cashflows From Investing Activities,-405000000.0,-5608000000.0,338000000.0,493000000.0,-378000000.0,567000000.0
Net Borrowings,4864000000.0,-1001000000.0,-1102000000.0,-1401000000.0,-570000000.0,-885000000.0
Total Cash From Financing Activities,3746000000.0,-2276000000.0,-2293000000.0,-2200000000.0,-1317000000.0,-2463000000.0
Change To Operating Activities,-493000000.0,415000000.0,193000000.0,6550000000.0,452000000.0,293000000.0
Net Income,1288000000.0,256000000.0,1363000000.0,-3696000000.0,611000000.0,-933000000.0
Change In Cash,4523000000.0,-5116000000.0,768000000.0,240000000.0,636000000.0,1310000000.0
Repurchase Of Stock,-600000000.0,-553000000.0,-614000000.0,-350000000.0,-200000000.0,-1019000000.0
Effect Of Exchange Rate,-2000000.0,4000000.0,1000000.0,-13000000.0,11000000.0,-25000000.0
Total Cash From Operating Activities,1184000000.0,2768000000.0,2722000000.0,1960000000.0,2429000000.0,3122000000.0
Depreciation,717000000.0,1032000000.0,1000000000.0,913000000.0,783000000.0,692000000.0
Other Cashflows From Investing Activities,,,71000000.0,71000000.0,71000000.0,71000000.0
Dividends Paid,-577000000.0,-581000000.0,-577000000.0,-569000000.0,-573000000.0,-559000000.0
Change To Inventory,-673000000.0,-1211000000.0,-551000000.0,-409000000.0,-1584000000.0,-1071000000.0
Change To Account Receivables,-665000000.0,-871000000.0,-751000000.0,82000000.0,-904000000.0,-1526000000.0
Change To Netincome,446000000.0,573000000.0,-396000000.0,-1318000000.0,746000000.0,2239000000.0
Capital Expenditures,-387000000.0,-384000000.0,-328000000.0,-375000000.0,-400000000.0,-387000000.0
Issuance Of Stock,26000000.0,8000000.0,8000000.0,8000000.0,8000000.0,
Other Cashflows From Financing Activities,33000000.0,-141000000.0,112000000.0,112000000.0,18000000.0,
