,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31
Intangible Assets,259000000.0,253000000.0,357000000.0,378000000.0,372000000.0,395000000.0,388000000.0
Total Liab,5265000000.0,5234000000.0,5356000000.0,5332000000.0,5338000000.0,5469000000.0,5497000000.0
Total Stockholder Equity,-136000000.0,141000000.0,195000000.0,-17000000.0,-154000000.0,-126000000.0,-179000000.0
Minority Interest,173000000.0,200000000.0,226000000.0,259000000.0,239000000.0,252000000.0,257000000.0
Total Assets,5302000000.0,5575000000.0,5777000000.0,5574000000.0,5423000000.0,5595000000.0,5575000000.0
Common Stock,260000000.0,261000000.0,258000000.0,253000000.0,247000000.0,243000000.0,241000000.0
Retained Earnings,-223000000.0,15000000.0,79000000.0,-116000000.0,-640000000.0,-595000000.0,-652000000.0
Other Liab,589000000.0,567000000.0,481000000.0,472000000.0,458000000.0,485000000.0,437000000.0
Good Will,521000000.0,528000000.0,563000000.0,588000000.0,592000000.0,617000000.0,568000000.0
Treasury Stock,-184000000.0,-156000000.0,-142000000.0,-154000000.0,239000000.0,226000000.0,232000000.0
Other Assets,133000000.0,130000000.0,137000000.0,335000000.0,135000000.0,121000000.0,89000000.0
Cash,1089000000.0,1326000000.0,1326000000.0,838000000.0,769000000.0,854000000.0,926000000.0
Total Current Liabilities,2154000000.0,1737000000.0,1934000000.0,1748000000.0,1778000000.0,1879000000.0,1939000000.0
Short Long Term Debt,400000000.0,,1000000.0,6000000.0,10000000.0,10000000.0,7000000.0
Other Stockholder Equity,-184000000.0,-156000000.0,-142000000.0,-154000000.0,239000000.0,226000000.0,232000000.0
Property Plant Equipment,1024000000.0,1034000000.0,1074000000.0,1067000000.0,1065000000.0,1058000000.0,1083000000.0
Total Current Assets,3225000000.0,3487000000.0,3489000000.0,3206000000.0,3259000000.0,3404000000.0,3422000000.0
Net Tangible Assets,-916000000.0,-640000000.0,-725000000.0,-983000000.0,-1118000000.0,-1138000000.0,-1135000000.0
Net Receivables,1308000000.0,1262000000.0,1140000000.0,1305000000.0,1352000000.0,1330000000.0,1172000000.0
Long Term Debt,2372000000.0,2787000000.0,2766000000.0,2955000000.0,2950000000.0,2950000000.0,2926000000.0
Inventory,750000000.0,811000000.0,876000000.0,948000000.0,1021000000.0,1107000000.0,1216000000.0
Accounts Payable,845000000.0,933000000.0,893000000.0,925000000.0,1021000000.0,1037000000.0,1045000000.0
Other Current Liab,,,155000000.0,14000000.0,,,121000000.0
Other Current Assets,,,,18000000.0,,,
Deferred Long Term Asset Charges,,,109000000.0,,,,57000000.0
Long Term Investments,140000000.0,143000000.0,157000000.0,,,,25000000.0
Capital Surplus,11000000.0,21000000.0,,,,,
