,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30
Intangible Assets,488900000.0,494300000.0,487100000.0,467400000.0,464200000.0,459800000.0,447500000.0,434000000.0,412100000.0,599700000.0
Total Liab,2153900000.0,2200600000.0,2236800000.0,2216900000.0,2272700000.0,2249100000.0,2288600000.0,2262600000.0,2874000000.0,3149700000.0
Total Stockholder Equity,677500000.0,824300000.0,829400000.0,727700000.0,784000000.0,864200000.0,759100000.0,741600000.0,776900000.0,793600000.0
Total Assets,2833900000.0,3027700000.0,3069400000.0,2947900000.0,3060100000.0,3116700000.0,3051000000.0,3007600000.0,3653700000.0,3943300000.0
Common Stock,900000.0,900000.0,900000.0,900000.0,900000.0,900000.0,900000.0,900000.0,900000.0,793600000.0
Other Current Assets,51900000.0,51600000.0,33900000.0,51200000.0,57100000.0,45400000.0,26900000.0,45000000.0,71700000.0,53300000.0
Other Liab,212800000.0,214300000.0,219600000.0,216100000.0,216800000.0,198800000.0,194600000.0,180000000.0,174100000.0,246000000.0
Good Will,777700000.0,790100000.0,819000000.0,807800000.0,810800000.0,808700000.0,803800000.0,796400000.0,781000000.0,1373500000.0
Other Assets,203200000.0,215200000.0,217700000.0,231300000.0,247800000.0,265000000.0,272700000.0,282400000.0,290800000.0,443500000.0
Cash,302400000.0,428900000.0,480400000.0,394300000.0,460200000.0,503900000.0,397900000.0,305100000.0,919600000.0,282200000.0
Total Current Liabilities,463700000.0,489100000.0,521500000.0,505600000.0,564100000.0,793900000.0,601200000.0,581500000.0,610400000.0,689200000.0
Short Long Term Debt,1300000.0,200000.0,200000.0,100000.0,100000.0,238400000.0,12600000.0,12600000.0,12600000.0,12600000.0
Property Plant Equipment,365600000.0,388900000.0,386900000.0,377100000.0,374300000.0,368400000.0,373600000.0,381700000.0,375200000.0,290700000.0
Total Current Assets,977100000.0,1121000000.0,1145000000.0,1048000000.0,1144200000.0,1202400000.0,1117600000.0,1077300000.0,1753000000.0,1235900000.0
Net Tangible Assets,-589100000.0,-460100000.0,-476700000.0,-547500000.0,-491000000.0,-404300000.0,-492200000.0,-488800000.0,-416200000.0,-1179600000.0
Net Receivables,329200000.0,350900000.0,347600000.0,312600000.0,316900000.0,307400000.0,312400000.0,324300000.0,333300000.0,422500000.0
Long Term Debt,1428500000.0,1428900000.0,1429400000.0,1429800000.0,1430300000.0,1192500000.0,1429500000.0,1426800000.0,2018100000.0,2214500000.0
Inventory,293600000.0,289600000.0,283100000.0,289900000.0,310000000.0,345700000.0,380400000.0,402900000.0,428400000.0,477900000.0
Accounts Payable,195500000.0,191100000.0,220400000.0,209800000.0,233000000.0,212400000.0,259100000.0,258400000.0,278400000.0,266400000.0
Capital Surplus,1600000.0,6800000.0,,,,2800000.0,,,5400000.0,
Minority Interest,2500000.0,2800000.0,3200000.0,3300000.0,3400000.0,3400000.0,3300000.0,3400000.0,2800000.0,
Retained Earnings,906000000.0,1023400000.0,985600000.0,915900000.0,961800000.0,1061500000.0,952600000.0,956100000.0,1035200000.0,
Treasury Stock,-231000000.0,-206800000.0,-157100000.0,-189100000.0,-178700000.0,-201000000.0,-194400000.0,-215400000.0,-264600000.0,
Other Stockholder Equity,-231000000.0,-206800000.0,-157100000.0,-189100000.0,-178700000.0,-201000000.0,-194400000.0,-215400000.0,-264600000.0,
Long Term Investments,21400000.0,18200000.0,13700000.0,16300000.0,18800000.0,12400000.0,35800000.0,35800000.0,41600000.0,
Other Current Liab,17700000.0,17900000.0,25400000.0,,,,11900000.0,,,
Deferred Long Term Asset Charges,,,126700000.0,,,,154500000.0,,,
