,2020-07-31,2020-10-30,2021-01-29,2021-04-30,2021-07-30,2021-10-29
Intangible Assets,,,,553000000.0,542000000.0,535000000.0
Total Liab,47407000000.0,46807000000.0,45298000000.0,50755000000.0,49579000000.0,50976000000.0
Total Stockholder Equity,4356000000.0,4073000000.0,1437000000.0,445000000.0,-175000000.0,-1576000000.0
Other Current Liab,5166000000.0,4540000000.0,3782000000.0,5727000000.0,5418000000.0,5222000000.0
Total Assets,51763000000.0,50880000000.0,46735000000.0,51200000000.0,49404000000.0,49400000000.0
Common Stock,378000000.0,376000000.0,366000000.0,358000000.0,350000000.0,343000000.0
Other Current Assets,1160000000.0,1103000000.0,937000000.0,1266000000.0,1138000000.0,1049000000.0
Retained Earnings,4134000000.0,3942000000.0,1117000000.0,98000000.0,-460000000.0,-1913000000.0
Other Liab,1960000000.0,2146000000.0,2010000000.0,2032000000.0,2107000000.0,2118000000.0
Good Will,,,311000000.0,311000000.0,311000000.0,311000000.0
Treasury Stock,-285000000.0,-245000000.0,-136000000.0,-11000000.0,-65000000.0,-6000000.0
Other Assets,1636000000.0,1458000000.0,1107000000.0,575000000.0,612000000.0,599000000.0
Cash,11641000000.0,8249000000.0,4690000000.0,6692000000.0,4835000000.0,6121000000.0
Total Current Liabilities,21370000000.0,19564000000.0,18730000000.0,22892000000.0,21664000000.0,20834000000.0
Deferred Long Term Asset Charges,267000000.0,241000000.0,340000000.0,213000000.0,221000000.0,220000000.0
Short Long Term Debt,545000000.0,534000000.0,1026000000.0,1250000000.0,1253000000.0,1260000000.0
Other Stockholder Equity,-285000000.0,-245000000.0,-136000000.0,-11000000.0,-65000000.0,-6000000.0
Property Plant Equipment,22410000000.0,22506000000.0,22987000000.0,22945000000.0,22851000000.0,23086000000.0
Total Current Assets,27717000000.0,26916000000.0,22326000000.0,26816000000.0,25083000000.0,24849000000.0
Long Term Investments,,,4000000.0,,5000000.0,20000000.0
Net Tangible Assets,4356000000.0,4073000000.0,1126000000.0,-419000000.0,-1028000000.0,-2422000000.0
Short Term Investments,1085000000.0,1852000000.0,506000000.0,454000000.0,1420000000.0,552000000.0
Net Receivables,,,,,368000000.0,408000000.0
Long Term Debt,19610000000.0,20604000000.0,20104000000.0,21340000000.0,21538000000.0,23535000000.0
Inventory,13831000000.0,15712000000.0,16193000000.0,18382000000.0,17322000000.0,16685000000.0
Accounts Payable,12916000000.0,12759000000.0,10884000000.0,13964000000.0,12011000000.0,11334000000.0
Capital Surplus,129000000.0,,90000000.0,,,
