,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30
Intangible Assets,1166000000.0,1091000000.0,1125000000.0,1169000000.0,1098000000.0,1090000000.0,1168000000.0,1149000000.0,1118000000.0
Capital Surplus,9532000000.0,9552000000.0,9570000000.0,9592000000.0,9620000000.0,9649000000.0,9669000000.0,9643000000.0,9663000000.0
Total Liab,84645000000.0,83559000000.0,83247000000.0,82415000000.0,77820000000.0,78001000000.0,82093000000.0,81849000000.0,81807000000.0
Total Stockholder Equity,11165000000.0,11365000000.0,11967000000.0,12705000000.0,13463000000.0,13202000000.0,12921000000.0,12684000000.0,12659000000.0
Total Assets,96544000000.0,95658000000.0,95948000000.0,95854000000.0,92017000000.0,91937000000.0,95748000000.0,95267000000.0,95200000000.0
Common Stock,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0
Other Current Assets,74000000.0,78000000.0,86000000.0,504000000.0,425000000.0,3544000000.0,4710000000.0,4429000000.0,108000000.0
Retained Earnings,9852000000.0,10024000000.0,10621000000.0,11470000000.0,12560000000.0,13562000000.0,14245000000.0,15003000000.0,15679000000.0
Good Will,1078000000.0,1078000000.0,1078000000.0,1104000000.0,1105000000.0,1105000000.0,1105000000.0,1105000000.0,1105000000.0
Treasury Stock,-8220000000.0,-8212000000.0,-8225000000.0,-8358000000.0,-8718000000.0,-10010000000.0,-10994000000.0,-11963000000.0,-12684000000.0
Other Assets,74032000000.0,74024000000.0,77556000000.0,72830000000.0,75151000000.0,73320000000.0,77720000000.0,75278000000.0,78842000000.0
Cash,16344000000.0,13552000000.0,11524000000.0,16620000000.0,11117000000.0,9806000000.0,8337000000.0,10541000000.0,10682000000.0
Total Current Liabilities,68576000000.0,67788000000.0,67238000000.0,67255000000.0,64363000000.0,65241000000.0,68107000000.0,69239000000.0,69650000000.0
Other Stockholder Equity,-37000000.0,-31000000.0,-51000000.0,-56000000.0,-56000000.0,-64000000.0,-69000000.0,-121000000.0,-149000000.0
Total Current Assets,16418000000.0,13630000000.0,11610000000.0,17124000000.0,11542000000.0,13350000000.0,13047000000.0,14970000000.0,10790000000.0
Long Term Investments,3850000000.0,5835000000.0,4579000000.0,3627000000.0,3121000000.0,3072000000.0,2708000000.0,2765000000.0,3345000000.0
Net Tangible Assets,8921000000.0,9196000000.0,9764000000.0,10432000000.0,11260000000.0,11007000000.0,10648000000.0,10430000000.0,10436000000.0
Long Term Debt,16069000000.0,15771000000.0,15775000000.0,15160000000.0,13457000000.0,12760000000.0,13758000000.0,12610000000.0,12157000000.0
Accounts Payable,64148000000.0,63493000000.0,62782000000.0,62761000000.0,59841000000.0,60353000000.0,62270000000.0,63575000000.0,64709000000.0
Short Long Term Debt,,,,,,,749000000.0,750000000.0,
Other Liab,,,234000000.0,,,,228000000.0,,
