,2017-12-31,2018-12-31,2019-12-31,2020-12-31
Investments,52963000.0,52963000.0,52963000.0,52963000.0
Change To Liabilities,322346000.0,27386000.0,198756000.0,89983000.0
Total Cashflows From Investing Activities,-497802000.0,-26270000.0,-523702000.0,-106249000.0
Net Borrowings,622092000.0,329241000.0,218629000.0,-700707000.0
Total Cash From Financing Activities,251938000.0,-577815000.0,-310171000.0,-1416801000.0
Change To Operating Activities,5145000.0,-53082000.0,-192183000.0,-1865000.0
Issuance Of Stock,44690000.0,55680000.0,168925000.0,136797000.0
Net Income,740200000.0,811483000.0,895073000.0,704216000.0
Change In Cash,487100000.0,234023000.0,310344000.0,-198618000.0
Repurchase Of Stock,-402393000.0,-958696000.0,-694909000.0,-849910000.0
Effect Of Exchange Rate,52906000.0,-65274000.0,-17854000.0,-148157000.0
Total Cash From Operating Activities,680058000.0,903382000.0,1162071000.0,1472589000.0
Depreciation,236599000.0,245036000.0,232484000.0,209181000.0
Change To Account Receivables,-431003000.0,-159024000.0,-196028000.0,264140000.0
Other Cashflows From Financing Activities,-12451000.0,-4040000.0,-2816000.0,-2981000.0
Change To Netincome,-221981000.0,2041000.0,181663000.0,160248000.0
Capital Expenditures,-70093000.0,-81387000.0,-75170000.0,-78425000.0
Other Cashflows From Investing Activities,-38953000.0,-22775000.0,-255000.0,
