,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30
Total Liab,16629600000.0,17049300000.0,17870000000.0,17785700000.0,17828400000.0,16579500000.0,17864300000.0,18442800000.0,18070700000.0,17730100000.0
Total Stockholder Equity,9776800000.0,10184400000.0,10390000000.0,10717700000.0,11183800000.0,11330400000.0,11437400000.0,12143300000.0,12518000000.0,12893500000.0
Total Assets,26406400000.0,27233700000.0,28260000000.0,28503400000.0,29012200000.0,27909900000.0,29301700000.0,30586100000.0,30588700000.0,30623600000.0
Common Stock,346500000.0,347000000.0,346600000.0,347200000.0,347200000.0,347200000.0,347300000.0,12143300000.0,347700000.0,12893500000.0
Other Assets,818000000.0,922200000.0,967000000.0,1016200000.0,992300000.0,1005500000.0,1262300000.0,1340700000.0,1351200000.0,2235900000.0
Cash,3020100000.0,3218900000.0,3405000000.0,3230000000.0,2968700000.0,2098400000.0,3253600000.0,3314900000.0,3135100000.0,3323500000.0
Total Current Liabilities,3713900000.0,4074600000.0,7869300000.0,4705300000.0,4796700000.0,4493900000.0,8512300000.0,6325900000.0,5301200000.0,5971800000.0
Property Plant Equipment,3496700000.0,3590100000.0,3724200000.0,3614600000.0,3673600000.0,3658500000.0,3731200000.0,5766700000.0,3618300000.0,3299400000.0
Total Current Assets,18862000000.0,19417700000.0,20135800000.0,20477900000.0,20971700000.0,19999600000.0,21112500000.0,8822300000.0,22423200000.0,9163500000.0
Net Tangible Assets,9776800000.0,10184400000.0,10390000000.0,10717700000.0,11183800000.0,11330400000.0,11437400000.0,12143300000.0,12518000000.0,12893500000.0
Short Term Investments,1147200000.0,1194300000.0,1429000000.0,1421100000.0,1434600000.0,1549400000.0,1559400000.0,1357500000.0,1559200000.0,1439400000.0
Net Receivables,1248300000.0,1364700000.0,1197500000.0,1649900000.0,1525700000.0,1475800000.0,1575100000.0,1927800000.0,1959700000.0,2018500000.0
Inventory,1136400000.0,1124500000.0,1221900000.0,1465400000.0,2054600000.0,2516700000.0,1768300000.0,2222100000.0,2232200000.0,2382100000.0
Accounts Payable,3132100000.0,3387400000.0,1176200000.0,3950500000.0,4032800000.0,3829500000.0,1393500000.0,6325900000.0,4513900000.0,5971800000.0
Capital Surplus,82700000.0,114400000.0,88500000.0,124300000.0,128900000.0,131800000.0,142000000.0,167300000.0,174000000.0,
Other Current Liab,42300000.0,30700000.0,2138600000.0,48000000.0,51300000.0,18300000.0,2401700000.0,77600000.0,39400000.0,
Other Current Assets,492100000.0,541500000.0,515600000.0,572200000.0,796900000.0,667900000.0,730400000.0,720500000.0,691800000.0,
Retained Earnings,10679100000.0,10953600000.0,11005200000.0,11364000000.0,11738700000.0,11998100000.0,11869200000.0,12507900000.0,13109900000.0,
Other Liab,1795100000.0,1853200000.0,1546300000.0,1824900000.0,1797300000.0,1735900000.0,1469200000.0,1689500000.0,1674600000.0,
Treasury Stock,-1331500000.0,-1230600000.0,-1050300000.0,-1117800000.0,-1031000000.0,-1146700000.0,-921100000.0,-879600000.0,-1113600000.0,
Other Stockholder Equity,-1289900000.0,-1189000000.0,-1050300000.0,-1116400000.0,-1029600000.0,-1145200000.0,-921100000.0,-877700000.0,-1111700000.0,
Deferred Long Term Asset Charges,,,90400000.0,,,,51500000.0,,,
