,2017-09-30,2018-09-30,2019-09-30,2020-09-30,2021-09-30
Change To Liabilities,134000000.0,867000000.0,-470000000.0,205000000.0,687000000.0
Total Cashflows From Investing Activities,-883000000.0,-15733000000.0,-741000000.0,-1232000000.0,-1880000000.0
Net Borrowings,7282000000.0,1090000000.0,-2035000000.0,-1760000000.0,-243000000.0
Total Cash From Financing Activities,10977000000.0,-58000000.0,-3223000000.0,22000000.0,-3306000000.0
Change To Operating Activities,-366000000.0,-46000000.0,299000000.0,81000000.0,-186000000.0
Net Income,1100000000.0,311000000.0,1233000000.0,874000000.0,2092000000.0
Change In Cash,12638000000.0,-12943000000.0,-646000000.0,2326000000.0,-525000000.0
Repurchase Of Stock,-220000000.0,-1750000000.0,-1750000000.0,-1750000000.0,-1750000000.0
Effect Of Exchange Rate,-6000000.0,-17000000.0,-12000000.0,-3000000.0,15000000.0
Total Cash From Operating Activities,2550000000.0,2865000000.0,3330000000.0,3539000000.0,4647000000.0
Depreciation,1088000000.0,1978000000.0,2253000000.0,2154000000.0,2273000000.0
Other Cashflows From Investing Activities,-147000000.0,-217000000.0,-261000000.0,-258000000.0,-141000000.0
Dividends Paid,-677000000.0,-927000000.0,-984000000.0,-1026000000.0,-1048000000.0
Change To Inventory,-46000000.0,246000000.0,-149000000.0,-125000000.0,-104000000.0
Change To Account Receivables,-93000000.0,-170000000.0,-51000000.0,-48000000.0,-95000000.0
Other Cashflows From Financing Activities,-235000000.0,-221000000.0,-204000000.0,-109000000.0,-265000000.0
Change To Netincome,733000000.0,-321000000.0,215000000.0,398000000.0,-20000000.0
Capital Expenditures,-727000000.0,-895000000.0,-957000000.0,-810000000.0,-1231000000.0
Issuance Of Stock,4827000000.0,2917000000.0,2917000000.0,2917000000.0,
