,2017-08-31,2018-08-30,2019-08-29,2020-09-03,2021-09-02,2022-09-01
Investments,-269000000.0,164000000.0,-1173000000.0,415000000.0,-1057000000.0,-155000000.0
Change To Liabilities,652000000.0,403000000.0,-24000000.0,725000000.0,210000000.0,744000000.0
Total Cashflows From Investing Activities,-7537000000.0,-8216000000.0,-10085000000.0,-7589000000.0,-10589000000.0,-11585000000.0
Net Borrowings,753000000.0,-9185000000.0,210000000.0,634000000.0,-332000000.0,-32000000.0
Total Cash From Financing Activities,349000000.0,-7776000000.0,-2438000000.0,-317000000.0,-1781000000.0,-2980000000.0
Net Income,5089000000.0,14135000000.0,6313000000.0,2687000000.0,5861000000.0,8687000000.0
Change In Cash,953000000.0,1371000000.0,692000000.0,411000000.0,139000000.0,510000000.0
Repurchase Of Stock,-36000000.0,-71000000.0,-2729000000.0,-251000000.0,-1294000000.0,-2557000000.0
Effect Of Exchange Rate,-12000000.0,-37000000.0,26000000.0,11000000.0,41000000.0,-106000000.0
Total Cash From Operating Activities,8153000000.0,17400000000.0,13189000000.0,8306000000.0,12468000000.0,15181000000.0
Depreciation,3861000000.0,4759000000.0,5424000000.0,5650000000.0,6214000000.0,7116000000.0
Other Cashflows From Investing Activities,100000000.0,499000000.0,868000000.0,219000000.0,498000000.0,-251000000.0
Dividends Paid,,,-461000000.0,-461000000.0,-461000000.0,-461000000.0
Change To Inventory,50000000.0,-472000000.0,-1489000000.0,-435000000.0,866000000.0,-2179000000.0
Change To Account Receivables,-1651000000.0,-1734000000.0,2431000000.0,-723000000.0,-1446000000.0,190000000.0
Other Cashflows From Financing Activities,-510000000.0,-175000000.0,81000000.0,-700000000.0,-155000000.0,70000000.0
Change To Netincome,606000000.0,208000000.0,485000000.0,402000000.0,763000000.0,623000000.0
Capital Expenditures,-4734000000.0,-8879000000.0,-9780000000.0,-8223000000.0,-10030000000.0,-12067000000.0
Issuance Of Stock,142000000.0,1655000000.0,,,,
Change To Operating Activities,-361000000.0,,,,,
