,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30
Net Income,46196000.0,75749000.0,94416000.0,110598000.0,149213000.0,170871000.0,167944000.0,168239000.0,175821000.0
Change To Liabilities,4902000.0,-14065000.0,-7932000.0,-6603000.0,23741000.0,15002000.0,20470000.0,-14072000.0,0.0
Total Cashflows From Investing Activities,-14665000.0,-417000.0,52893000.0,-15449000.0,-15664000.0,-18685000.0,-37811000.0,-27118000.0,
Total Cash From Financing Activities,-38503000.0,-59476000.0,-106849000.0,-123800000.0,-108110000.0,-108692000.0,-117987000.0,-109560000.0,
Change To Operating Activities,16752000.0,137579000.0,-35290000.0,952000.0,102498000.0,110339000.0,-62226000.0,-102366000.0,
Change In Cash,251571000.0,85515000.0,-12574000.0,-76496000.0,44875000.0,90914000.0,-14718000.0,-68671000.0,
Repurchase Of Stock,-9000.0,-21036000.0,-68159000.0,-79465000.0,-65849000.0,-66774000.0,-75650000.0,-62062000.0,
Effect Of Exchange Rate,3723000.0,6709000.0,9495000.0,-5303000.0,3233000.0,-6502000.0,-3791000.0,-1155000.0,
Total Cash From Operating Activities,301016000.0,138699000.0,31887000.0,68056000.0,165416000.0,224793000.0,144871000.0,69162000.0,
Depreciation,15926000.0,15922000.0,15401000.0,14538000.0,14329000.0,13393000.0,12191000.0,11497000.0,
Other Cashflows From Investing Activities,-6677000.0,6197000.0,73228000.0,-5710000.0,-9289000.0,-10002000.0,-25997000.0,-12131000.0,
Dividends Paid,-38440000.0,-38385000.0,-38634000.0,-44277000.0,-42202000.0,-41858000.0,-42275000.0,-47498000.0,
Change To Account Receivables,190613000.0,-15563000.0,-10610000.0,-95024000.0,-106578000.0,-107221000.0,16195000.0,-89597000.0,
Change To Netincome,-1253000.0,-37546000.0,-14764000.0,8229000.0,-17884000.0,-4339000.0,20898000.0,53038000.0,
Capital Expenditures,-7988000.0,-6614000.0,-4499000.0,-9739000.0,-6375000.0,-8683000.0,-11814000.0,-14987000.0,
Net Borrowings,-54000.0,-55000.0,-56000.0,-58000.0,-59000.0,-60000.0,-62000.0,,
