,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31
Intangible Assets,730000000.0,763000000.0,764000000.0,348000000.0,347000000.0,344000000.0,343000000.0,340000000.0
Capital Surplus,12255000000.0,12260000000.0,12270000000.0,12273000000.0,12281000000.0,12290000000.0,12303000000.0,12299000000.0
Total Liab,33476000000.0,34238000000.0,34743000000.0,36227000000.0,21807000000.0,19595000000.0,19500000000.0,20242000000.0
Total Stockholder Equity,13044000000.0,13686000000.0,13373000000.0,11554000000.0,14952000000.0,14576000000.0,13723000000.0,13865000000.0
Deferred Long Term Liab,1472000000.0,1450000000.0,1262000000.0,1233000000.0,1281000000.0,1286000000.0,1236000000.0,1219000000.0
Other Current Liab,1208000000.0,1267000000.0,1426000000.0,12212000000.0,1147000000.0,1057000000.0,966000000.0,717000000.0
Total Assets,46520000000.0,47924000000.0,48116000000.0,47781000000.0,36759000000.0,34171000000.0,33223000000.0,34107000000.0
Common Stock,8000000.0,8000000.0,8000000.0,8000000.0,8000000.0,8000000.0,8000000.0,8000000.0
Other Current Assets,345000000.0,252000000.0,224000000.0,18578000000.0,100000000.0,92000000.0,106000000.0,101000000.0
Retained Earnings,5383000000.0,5345000000.0,5315000000.0,3155000000.0,2854000000.0,2743000000.0,2572000000.0,2697000000.0
Other Liab,7118000000.0,7463000000.0,7056000000.0,6808000000.0,6458000000.0,6506000000.0,6385000000.0,6466000000.0
Good Will,3086000000.0,3283000000.0,3274000000.0,716000000.0,716000000.0,716000000.0,716000000.0,716000000.0
Treasury Stock,-4602000000.0,-3927000000.0,-4220000000.0,-3882000000.0,-191000000.0,-465000000.0,-1160000000.0,-1139000000.0
Other Assets,2651000000.0,2863000000.0,2331000000.0,1693000000.0,1733000000.0,1768000000.0,1625000000.0,1693000000.0
Cash,1278000000.0,746000000.0,708000000.0,421000000.0,7629000000.0,4767000000.0,3571000000.0,4249000000.0
Total Current Liabilities,5168000000.0,5442000000.0,5977000000.0,15623000000.0,4172000000.0,2343000000.0,2323000000.0,3033000000.0
Short Long Term Debt,2072000000.0,1535000000.0,1576000000.0,977000000.0,2202000000.0,476000000.0,475000000.0,475000000.0
Other Stockholder Equity,-4602000000.0,-3927000000.0,-4220000000.0,-3882000000.0,-191000000.0,-183000000.0,-157000000.0,-152000000.0
Property Plant Equipment,36785000000.0,38320000000.0,38979000000.0,24697000000.0,24945000000.0,25206000000.0,25532000000.0,25645000000.0
Total Current Assets,3268000000.0,2695000000.0,2768000000.0,20327000000.0,9018000000.0,6137000000.0,5007000000.0,5713000000.0
Net Tangible Assets,9228000000.0,9640000000.0,9335000000.0,10490000000.0,13889000000.0,13516000000.0,12664000000.0,12809000000.0
Net Receivables,1159000000.0,1212000000.0,1379000000.0,936000000.0,905000000.0,884000000.0,948000000.0,948000000.0
Long Term Debt,21190000000.0,21333000000.0,21640000000.0,13796000000.0,11177000000.0,10746000000.0,10745000000.0,10743000000.0
Inventory,333000000.0,351000000.0,361000000.0,260000000.0,265000000.0,304000000.0,322000000.0,280000000.0
Accounts Payable,804000000.0,864000000.0,965000000.0,660000000.0,683000000.0,635000000.0,679000000.0,686000000.0
Deferred Long Term Asset Charges,,,17000000.0,,,,12000000.0,
