,2017-09-24,2018-09-30,2019-09-29,2020-09-27
Investments,22672000000.0,3474000000.0,266000000.0,-3714000000.0
Change To Liabilities,-276000000.0,-328000000.0,-572000000.0,661000000.0
Total Cashflows From Investing Activities,20463000000.0,2381000000.0,-806000000.0,-5263000000.0
Net Borrowings,10202000000.0,-5509000000.0,-503000000.0,-229000000.0
Total Cash From Financing Activities,5571000000.0,-31500000000.0,-6386000000.0,-5707000000.0
Change To Operating Activities,2477000000.0,1029000000.0,-2298000000.0,418000000.0
Issuance Of Stock,497000000.0,603000000.0,414000000.0,329000000.0
Net Income,2445000000.0,-4964000000.0,4386000000.0,5198000000.0
Change In Cash,31083000000.0,-25252000000.0,62000000.0,-5132000000.0
Repurchase Of Stock,-1610000000.0,-22860000000.0,-2059000000.0,-2794000000.0
Effect Of Exchange Rate,48000000.0,-41000000.0,-32000000.0,24000000.0
Total Cash From Operating Activities,5001000000.0,3908000000.0,7286000000.0,5814000000.0
Depreciation,1461000000.0,1561000000.0,1401000000.0,1393000000.0
Other Cashflows From Investing Activities,25000000.0,17000000.0,67000000.0,43000000.0
Dividends Paid,-3252000000.0,-3466000000.0,-2968000000.0,-2882000000.0
Change To Inventory,-200000000.0,337000000.0,273000000.0,-1157000000.0
Change To Account Receivables,-1104000000.0,734000000.0,1373000000.0,-1529000000.0
Other Cashflows From Financing Activities,-266000000.0,-268000000.0,-1270000000.0,-131000000.0
Change To Netincome,198000000.0,5539000000.0,2723000000.0,830000000.0
Capital Expenditures,-690000000.0,-784000000.0,-887000000.0,-1407000000.0
