,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30
Intangible Assets,761000000.0,701000000.0,648000000.0,592000000.0,576000000.0,662000000.0,615000000.0,583000000.0,533000000.0,500000000.0
Capital Surplus,2450000000.0,2463000000.0,2482000000.0,2473000000.0,2506000000.0,2538000000.0,2567000000.0,2535000000.0,2570000000.0,2604000000.0
Total Liab,13993000000.0,13747000000.0,13323000000.0,12797000000.0,14547000000.0,14823000000.0,14301000000.0,14085000000.0,14774000000.0,15066000000.0
Total Stockholder Equity,3907000000.0,4161000000.0,4545000000.0,4745000000.0,5094000000.0,5483000000.0,5991000000.0,6084000000.0,6046000000.0,6353000000.0
Total Assets,17900000000.0,17908000000.0,17868000000.0,17542000000.0,19641000000.0,20306000000.0,20292000000.0,20169000000.0,20820000000.0,21419000000.0
Common Stock,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0
Retained Earnings,5660000000.0,5868000000.0,6165000000.0,6368000000.0,6661000000.0,7070000000.0,7551000000.0,7918000000.0,8411000000.0,9017000000.0
Other Liab,1941000000.0,1956000000.0,1906000000.0,1918000000.0,2065000000.0,2240000000.0,2298000000.0,2335000000.0,2357000000.0,2418000000.0
Good Will,5135000000.0,5147000000.0,5168000000.0,5167000000.0,5845000000.0,5458000000.0,5528000000.0,5517000000.0,5610000000.0,5543000000.0
Treasury Stock,-4204000000.0,-4171000000.0,-4103000000.0,-4097000000.0,-4074000000.0,-4126000000.0,-4128000000.0,-4370000000.0,-4936000000.0,-5269000000.0
Other Assets,9107000000.0,9071000000.0,8743000000.0,8514000000.0,9662000000.0,10585000000.0,10602000000.0,10642000000.0,11070000000.0,11600000000.0
Cash,127000000.0,174000000.0,202000000.0,278000000.0,336000000.0,320000000.0,144000000.0,101000000.0,68000000.0,76000000.0
Total Current Liabilities,1921000000.0,1916000000.0,1890000000.0,1841000000.0,2544000000.0,2752000000.0,2603000000.0,2597000000.0,2023000000.0,2264000000.0
Short Long Term Debt,753000000.0,644000000.0,644000000.0,534000000.0,804000000.0,842000000.0,853000000.0,960000000.0,60000000.0,156000000.0
Other Stockholder Equity,-247000000.0,-214000000.0,-146000000.0,-140000000.0,-117000000.0,-169000000.0,-171000000.0,-151000000.0,-217000000.0,-312000000.0
Property Plant Equipment,1275000000.0,1261000000.0,1292000000.0,1265000000.0,1404000000.0,1401000000.0,1396000000.0,1417000000.0,1443000000.0,1449000000.0
Total Current Assets,1622000000.0,1728000000.0,2017000000.0,2004000000.0,2154000000.0,2200000000.0,2151000000.0,2010000000.0,2164000000.0,2327000000.0
Net Tangible Assets,-1989000000.0,-1687000000.0,-1271000000.0,-1014000000.0,-1327000000.0,-637000000.0,-152000000.0,-16000000.0,-97000000.0,310000000.0
Net Receivables,1226000000.0,1324000000.0,1330000000.0,1267000000.0,1443000000.0,1631000000.0,1701000000.0,1607000000.0,1744000000.0,1934000000.0
Long Term Debt,9512000000.0,9266000000.0,8903000000.0,8417000000.0,9219000000.0,9123000000.0,8697000000.0,8393000000.0,9631000000.0,9629000000.0
Inventory,107000000.0,108000000.0,125000000.0,114000000.0,174000000.0,166000000.0,164000000.0,179000000.0,199000000.0,193000000.0
Accounts Payable,316000000.0,541000000.0,466000000.0,562000000.0,897000000.0,1057000000.0,816000000.0,828000000.0,1065000000.0,1136000000.0
Other Current Liab,,,147000000.0,,,,178000000.0,,,
Other Current Assets,,,342000000.0,333000000.0,184000000.0,74000000.0,113000000.0,,,
