,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31
Investments,900000.0,900000.0,-5400000.0,-2400000.0,-2400000.0,-2400000.0,
Change To Liabilities,58300000.0,19400000.0,-77100000.0,64600000.0,659400000.0,-54200000.0,325300000.0
Total Cashflows From Investing Activities,-257900000.0,-267100000.0,-394800000.0,-308500000.0,-271100000.0,-351000000.0,-391700000.0
Net Borrowings,-416500000.0,-403700000.0,-222000000.0,-99500000.0,-1100000.0,-494100000.0,289100000.0
Total Cash From Financing Activities,-530700000.0,-218500000.0,-232900000.0,121700000.0,-82100000.0,-618300000.0,-103400000.0
Change To Operating Activities,223900000.0,38400000.0,23000000.0,34600000.0,-80500000.0,-1400000.0,174000000.0
Net Income,47400000.0,-6200000.0,827900000.0,156700000.0,437200000.0,371900000.0,664800000.0
Change In Cash,9700000.0,-146500000.0,-350700000.0,111900000.0,731100000.0,-578700000.0,-72400000.0
Repurchase Of Stock,,,-20000000.0,-20000000.0,-20000000.0,-20000000.0,-390900000.0
Effect Of Exchange Rate,-15400000.0,-1500000.0,38600000.0,-20100000.0,69200000.0,-32100000.0,-7700000.0
Total Cash From Operating Activities,813700000.0,340600000.0,238400000.0,318800000.0,1015100000.0,422700000.0,430400000.0
Depreciation,210100000.0,203600000.0,209800000.0,204200000.0,206500000.0,203800000.0,233300000.0
Other Cashflows From Investing Activities,-700000.0,-2900000.0,-4600000.0,-19900000.0,26100000.0,-8600000.0,-32900000.0
Dividends Paid,-19000000.0,-18900000.0,-19000000.0,-18900000.0,-28600000.0,-28400000.0,-27800000.0
Change To Inventory,-46200000.0,263000000.0,-1000000.0,-180700000.0,-221300000.0,-172700000.0,-493200000.0
Change To Account Receivables,28000000.0,-105100000.0,-91300000.0,-1500000.0,-44900000.0,-175300000.0,-461900000.0
Other Cashflows From Financing Activities,-95200000.0,204100000.0,8100000.0,240100000.0,-52400000.0,-75800000.0,26200000.0
Change To Netincome,292200000.0,-72500000.0,-652900000.0,40900000.0,58700000.0,250600000.0,-11900000.0
Capital Expenditures,-257200000.0,-265100000.0,-384800000.0,-288600000.0,-297200000.0,-340000000.0,-362800000.0
