,2018-03-31,2019-03-31,2020-03-31,2021-03-31,2022-03-31
Change To Liabilities,563000.0,21244000.0,-2779000.0,-7213000.0,14887000.0
Total Cashflows From Investing Activities,-203829000.0,-213224000.0,-319735000.0,-1154159000.0,-666559000.0
Net Borrowings,-193435000.0,-112087000.0,-26500000.0,484539000.0,372181000.0
Total Cash From Financing Activities,-356184000.0,-294792000.0,-163146000.0,345620000.0,115830000.0
Change To Operating Activities,-16799000.0,51756000.0,9975000.0,10374000.0,-9272000.0
Issuance Of Stock,11158000.0,13362000.0,34731000.0,26726000.0,10071000.0
Net Income,290915000.0,303721000.0,407659000.0,397400000.0,243888000.0
Change In Cash,-81384000.0,19099000.0,98948000.0,-99050000.0,127789000.0
Repurchase Of Stock,-65485000.0,-81494000.0,-51241000.0,-14646000.0,-55777000.0
Effect Of Exchange Rate,20997000.0,-12390000.0,-8730000.0,19849000.0,-6293000.0
Total Cash From Operating Activities,457632000.0,539505000.0,590559000.0,689640000.0,684811000.0
Depreciation,178332000.0,225921000.0,197235000.0,219237000.0,553104000.0
Dividends Paid,-102929000.0,-112503000.0,-123034000.0,-133837000.0,-163169000.0
Change To Inventory,-5178000.0,-14176000.0,-39140000.0,3769000.0,-102922000.0
Change To Account Receivables,-37731000.0,-48486000.0,-17866000.0,12076000.0,-51969000.0
Other Cashflows From Financing Activities,-5493000.0,-2070000.0,2898000.0,-17162000.0,-47476000.0
Change To Netincome,47530000.0,-475000.0,35475000.0,53997000.0,37095000.0
Capital Expenditures,-165457000.0,-189715000.0,-214516000.0,-239262000.0,-287563000.0
Investments,-4955000.0,-4955000.0,-4400000.0,-4400000.0,
Other Cashflows From Investing Activities,-3083000.0,-13286000.0,-2392000.0,-2392000.0,
