,2017-06-30,2018-06-30,2019-06-30,2020-06-30,2021-06-30,2022-06-30
Investments,-6464000.0,-14495000.0,-46717000.0,-31616000.0,-21788000.0,-13922000.0
Change To Liabilities,34576000.0,200650000.0,-27278000.0,-23424000.0,210708000.0,-247632000.0
Total Cashflows From Investing Activities,-81890000.0,-101824000.0,-1075706000.0,-179861000.0,-158462000.0,-229918000.0
Net Borrowings,-95000000.0,-796242000.0,807485000.0,-94012000.0,-522000000.0,122000000.0
Total Cash From Financing Activities,-262867000.0,-1026694000.0,580643000.0,-317286000.0,-764632000.0,-128363000.0
Change To Operating Activities,-19257000.0,-160726000.0,-47575000.0,-58999000.0,-58154000.0,-168109000.0
Issuance Of Stock,38320000.0,38717000.0,36727000.0,48182000.0,37790000.0,47384000.0
Net Income,342284000.0,315588000.0,404592000.0,621674000.0,474505000.0,779437000.0
Change In Cash,90501000.0,-633234000.0,-41573000.0,316028000.0,-167878000.0,-21568000.0
Repurchase Of Stock,-8159000.0,-69186000.0,-50948000.0,-46061000.0,-50209000.0,-52406000.0
Effect Of Exchange Rate,21205000.0,-9742000.0,-5561000.0,10920000.0,18498000.0,-14434000.0
Total Cash From Operating Activities,414053000.0,505026000.0,459051000.0,802255000.0,736718000.0,351147000.0
Depreciation,112157000.0,99911000.0,116872000.0,140354000.0,146186000.0,158296000.0
Other Cashflows From Investing Activities,3324000.0,-14970000.0,-264000.0,-14397000.0,19219000.0,-17176000.0
Dividends Paid,-186346000.0,-199497000.0,-211712000.0,-225093000.0,-226713000.0,-245341000.0
Change To Inventory,-41599000.0,1494000.0,-84188000.0,-69881000.0,-21954000.0,-311681000.0
Change To Account Receivables,-63604000.0,-32356000.0,-18013000.0,54383000.0,-129195000.0,19346000.0
Change To Netincome,49496000.0,60416000.0,80718000.0,97129000.0,74390000.0,85945000.0
Capital Expenditures,-62219000.0,-62581000.0,-68710000.0,-95330000.0,-102712000.0,-134835000.0
Other Cashflows From Financing Activities,-11682000.0,-486000.0,-909000.0,-302000.0,-3500000.0,
