,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30
Investments,25935000.0,10592000.0,4901000.0,4901000.0,19517000.0,-107000.0,-11931000.0,2389000.0,1136000.0
Change To Liabilities,19556000.0,27267000.0,0.0,-74524000.0,18604000.0,24401000.0,39287000.0,3653000.0,31282000.0
Total Cashflows From Investing Activities,-384259000.0,-231208000.0,767726000.0,767726000.0,944570000.0,-508621000.0,-672643000.0,-245962000.0,-215174000.0
Net Borrowings,342577000.0,-302214000.0,-583194000.0,-583194000.0,-854466000.0,502018000.0,634628000.0,163568000.0,116519000.0
Total Cash From Financing Activities,106163000.0,-525796000.0,-924119000.0,-924119000.0,-1085153000.0,321383000.0,399372000.0,-18511000.0,-53571000.0
Net Income,51506000.0,-63417000.0,146394000.0,145788000.0,276280000.0,54711000.0,28761000.0,0.0,68338000.0
Change In Cash,-53458000.0,-537103000.0,-33667000.0,-33667000.0,96285000.0,24503000.0,-49358000.0,-70290000.0,-13260000.0
Repurchase Of Stock,-261000.0,-275000.0,-12165000.0,-12165000.0,-315000.0,-73000.0,-288000.0,-11352000.0,-263000.0
Total Cash From Operating Activities,224781000.0,219901000.0,122726000.0,122726000.0,236868000.0,211741000.0,223913000.0,194183000.0,255485000.0
Depreciation,178488000.0,173630000.0,157538000.0,157538000.0,171459000.0,177175000.0,159517000.0,177733000.0,180489000.0
Dividends Paid,-199550000.0,-199546000.0,-164118000.0,-164118000.0,-161971000.0,-161995000.0,-161998000.0,-163447000.0,-161829000.0
Change To Account Receivables,18153000.0,9386000.0,11567000.0,11567000.0,21361000.0,-5352000.0,-8950000.0,-4144000.0,14858000.0
Other Cashflows From Financing Activities,-37370000.0,-24272000.0,-165729000.0,-165729000.0,-68484000.0,-22110000.0,-73293000.0,-7280000.0,-7998000.0
Change To Netincome,-45456000.0,70481000.0,-119856000.0,-119856000.0,-252957000.0,-41537000.0,2759000.0,-57361000.0,-42170000.0
Issuance Of Stock,767000.0,511000.0,1087000.0,1087000.0,83000.0,3543000.0,323000.0,,
Effect Of Exchange Rate,-143000.0,,,,,,,,
