,2017-12-30,2018-12-29,2019-12-28,2021-01-02,2022-01-01
Investments,-17900000.0,-21700000.0,-260600000.0,-18700000.0,-15400000.0
Change To Liabilities,242000000.0,212500000.0,-160600000.0,310100000.0,760200000.0
Total Cashflows From Investing Activities,-1566800000.0,-989100000.0,-1208600000.0,-1577100000.0,-2623800000.0
Net Borrowings,-79500000.0,445700000.0,-671900000.0,725600000.0,2223100000.0
Total Cash From Financing Activities,295200000.0,-561600000.0,-292500000.0,615900000.0,918700000.0
Change To Operating Activities,152000000.0,70400000.0,-237000000.0,306800000.0,76100000.0
Issuance Of Stock,90800000.0,38500000.0,881000000.0,147000000.0,131400000.0
Net Income,1227300000.0,605200000.0,955800000.0,1233800000.0,1689200000.0
Change In Cash,-522100000.0,-343700000.0,3200000.0,1083700000.0,-1103500000.0
Repurchase Of Stock,-28700000.0,-527100000.0,-27500000.0,-26200000.0,-34300000.0
Effect Of Exchange Rate,81000000.0,-53900000.0,-1400000.0,22800000.0,-61500000.0
Total Cash From Operating Activities,668500000.0,1260900000.0,1505700000.0,2022100000.0,663100000.0
Depreciation,460700000.0,506500000.0,560200000.0,578100000.0,577100000.0
Other Cashflows From Investing Activities,669900000.0,7100000.0,-14600000.0,35100000.0,-59200000.0
Dividends Paid,-362900000.0,-384900000.0,-402000000.0,-450600000.0,-493700000.0
Change To Inventory,-303000000.0,-401600000.0,137700000.0,-401500000.0,-1970400000.0
Change To Account Receivables,-905600000.0,-48800000.0,137800000.0,-39600000.0,-280600000.0
Other Cashflows From Financing Activities,-50500000.0,-133800000.0,-72100000.0,-529900000.0,-157800000.0
Change To Netincome,-204900000.0,316700000.0,111800000.0,34400000.0,-188500000.0
Capital Expenditures,-442400000.0,-492100000.0,-424700000.0,-348100000.0,-519100000.0
