,2020-06-27,2020-09-26,2021-01-02,2021-04-03,2021-07-03,2021-10-02,2022-01-01
Investments,-7100000.0,-1000000.0,-4100000.0,-7000000.0,-4000000.0,-3500000.0,-900000.0
Change To Liabilities,0.0,0.0,310100000.0,0.0,0.0,0.0,0.0
Total Cashflows From Investing Activities,-56800000.0,-63800000.0,-92800000.0,-147900000.0,-108800000.0,-143000000.0,-2223200000.0
Net Borrowings,-980800000.0,-712900000.0,-415200000.0,-700000.0,1800000.0,149600000.0,2072400000.0
Total Cash From Financing Activities,-391500000.0,-810200000.0,-657600000.0,-95000000.0,-853300000.0,7800000.0,1842700000.0
Change To Operating Activities,-44900000.0,140700000.0,890600000.0,-787800000.0,-154700000.0,-543900000.0,-117300000.0
Issuance Of Stock,756700000.0,42500000.0,53200000.0,64100000.0,36300000.0,7700000.0,23300000.0
Net Income,238400000.0,394900000.0,467300000.0,487400000.0,459500000.0,414200000.0,328200000.0
Change In Cash,-121700000.0,-180500000.0,702200000.0,-439600000.0,-509200000.0,-146100000.0,-8600000.0
Repurchase Of Stock,-300000.0,-1900000.0,-15000000.0,-14900000.0,-2400000.0,-2800000.0,-14200000.0
Total Cash From Operating Activities,328200000.0,677200000.0,1421900000.0,-157800000.0,444400000.0,4600000.0,371900000.0
Depreciation,144700000.0,145300000.0,147000000.0,144000000.0,142400000.0,144200000.0,146500000.0
Other Cashflows From Investing Activities,14400000.0,-2100000.0,-5300000.0,-52400000.0,1600000.0,-1100000.0,-1200000.0
Dividends Paid,-105800000.0,-119000000.0,-120200000.0,-119500000.0,-121100000.0,-126000000.0,-127100000.0
Other Cashflows From Financing Activities,-61300000.0,-18900000.0,-160400000.0,-24000000.0,-17900000.0,-20700000.0,-111700000.0
Change To Netincome,-10000000.0,-3700000.0,48000000.0,-1400000.0,-2800000.0,-9900000.0,14500000.0
Capital Expenditures,-64500000.0,-62100000.0,-138600000.0,-88300000.0,-105100000.0,-129100000.0,-196600000.0
Effect Of Exchange Rate,-1600000.0,16300000.0,30700000.0,-38900000.0,8500000.0,-15500000.0,
Change To Inventory,-401500000.0,-401500000.0,-401500000.0,,,,
Change To Account Receivables,-39600000.0,-39600000.0,-39600000.0,,,,
