,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31
Change To Liabilities,0.0,0.0,7017000.0,0.0,0.0,0.0,212101000.0
Total Cashflows From Investing Activities,-10766000.0,-6102000.0,-37059000.0,-284502000.0,-1597640000.0,-13042000.0,-160658000.0
Net Borrowings,-397022000.0,-118179000.0,-438000000.0,-32950000.0,602899000.0,-283823000.0,-102229000.0
Total Cash From Financing Activities,-430253000.0,-141114000.0,-454718000.0,-84006000.0,575602000.0,-320395000.0,-131864000.0
Change To Operating Activities,74274000.0,31270000.0,-156313000.0,-13275000.0,-45222000.0,-2450000.0,25843000.0
Issuance Of Stock,13699000.0,19204000.0,25023000.0,6925000.0,24187000.0,11189000.0,17996000.0
Net Income,166217000.0,204581000.0,221025000.0,219233000.0,231679000.0,257460000.0,281681000.0
Change In Cash,-122407000.0,173863000.0,-92016000.0,-89162000.0,-733016000.0,-31968000.0,-11904000.0
Repurchase Of Stock,-4395000.0,-73000.0,-116000.0,-7997000.0,-4881000.0,-185000.0,-1648000.0
Effect Of Exchange Rate,3996000.0,11349000.0,13879000.0,-5061000.0,1986000.0,-5648000.0,-1279000.0
Total Cash From Operating Activities,314616000.0,309730000.0,385882000.0,284407000.0,287036000.0,307117000.0,281897000.0
Depreciation,61337000.0,62994000.0,64877000.0,64617000.0,75197000.0,74680000.0,77618000.0
Other Cashflows From Investing Activities,-776000.0,-24000.0,-24000.0,-3017000.0,2725000.0,1000.0,-3000.0
Dividends Paid,-41234000.0,-41291000.0,-41345000.0,-46033000.0,-46134000.0,-46178000.0,-46250000.0
Change To Inventory,77448000.0,77448000.0,77448000.0,-129593000.0,-129593000.0,-129593000.0,-129593000.0
Change To Account Receivables,163471000.0,163471000.0,163471000.0,-172791000.0,-172791000.0,-172791000.0,-172791000.0
Other Cashflows From Financing Activities,-1301000.0,-775000.0,-280000.0,-3951000.0,-469000.0,-1398000.0,267000.0
Change To Netincome,12788000.0,10885000.0,8357000.0,13832000.0,25382000.0,-22573000.0,-12962000.0
Capital Expenditures,-10086000.0,-10147000.0,-37035000.0,-17537000.0,-23468000.0,-26224000.0,-43442000.0
