,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31
Investments,9800000.0,100000.0,19500000.0,29600000.0,-48900000.0,-61700000.0,13800000.0
Change To Liabilities,0.0,0.0,85600000.0,0.0,0.0,0.0,142900000.0
Total Cashflows From Investing Activities,-2200000.0,-11800000.0,-600000.0,12500000.0,-62500000.0,-85300000.0,-214600000.0
Net Borrowings,-61400000.0,-167200000.0,-700000.0,-6800000.0,90300000.0,90300000.0,90300000.0
Total Cash From Financing Activities,-96400000.0,-204100000.0,-35900000.0,-111500000.0,-162800000.0,-54200000.0,-92500000.0
Change To Operating Activities,36100000.0,23900000.0,-5200000.0,-20200000.0,-47600000.0,28800000.0,73600000.0
Issuance Of Stock,2600000.0,1800000.0,7000000.0,4500000.0,10000000.0,1200000.0,16400000.0
Net Income,67800000.0,105400000.0,120000000.0,97700000.0,118200000.0,131600000.0,139600000.0
Change In Cash,26600000.0,-64800000.0,195200000.0,5400000.0,-133700000.0,41300000.0,-42800000.0
Repurchase Of Stock,-67000000.0,-67000000.0,-67000000.0,-67000000.0,-131100000.0,-13900000.0,-154500000.0
Total Cash From Operating Activities,125200000.0,151100000.0,231700000.0,104400000.0,91600000.0,180800000.0,264300000.0
Depreciation,19900000.0,20700000.0,19300000.0,19500000.0,19500000.0,19000000.0,19900000.0
Dividends Paid,-38800000.0,-38700000.0,-42200000.0,-42200000.0,-41700000.0,-41500000.0,-44700000.0
Change To Inventory,2900000.0,2900000.0,2900000.0,-109500000.0,-109500000.0,-109500000.0,-109500000.0
Change To Account Receivables,4500000.0,4500000.0,4500000.0,-25500000.0,-25500000.0,-25500000.0,-25500000.0
Change To Netincome,1400000.0,1100000.0,1200000.0,7400000.0,1500000.0,1400000.0,1600000.0
Capital Expenditures,-12000000.0,-11900000.0,-20100000.0,-17100000.0,-13600000.0,-14600000.0,-29800000.0
Other Cashflows From Financing Activities,1200000.0,,,,,,
