,2020-08-02,2020-11-01,2021-01-31,2021-05-02,2021-08-01,2021-10-31,2022-01-30,2022-05-01
Intangible Assets,18357000000.0,16782000000.0,15419000000.0,14068000000.0,12719000000.0,11374000000.0,10244000000.0,9241000000.0
Capital Surplus,23688000000.0,23982000000.0,24080000000.0,24045000000.0,24126000000.0,24330000000.0,23083000000.0,21078000000.0
Total Liab,55713000000.0,52032000000.0,52973000000.0,51558000000.0,51513000000.0,50581000000.0,50230000000.0,50729000000.0
Total Stockholder Equity,23557000000.0,23874000000.0,23973000000.0,23939000000.0,24340000000.0,24962000000.0,22968000000.0,20963000000.0
Other Current Liab,3956000000.0,3731000000.0,4438000000.0,4354000000.0,3890000000.0,3756000000.0,3961000000.0,4788000000.0
Total Assets,79298000000.0,75933000000.0,76972000000.0,75524000000.0,75880000000.0,75570000000.0,73224000000.0,71719000000.0
Other Current Assets,626000000.0,590000000.0,759000000.0,694000000.0,628000000.0,516000000.0,484000000.0,365000000.0
Other Liab,5264000000.0,4899000000.0,5211000000.0,4962000000.0,4834000000.0,4400000000.0,4738000000.0,4655000000.0
Good Will,43447000000.0,43447000000.0,43457000000.0,43457000000.0,43457000000.0,43450000000.0,43450000000.0,43603000000.0
Treasury Stock,-131000000.0,-108000000.0,-107000000.0,-106000000.0,-106000000.0,-116000000.0,-115000000.0,-115000000.0
Other Assets,640000000.0,711000000.0,1300000000.0,1338000000.0,1698000000.0,1224000000.0,1886000000.0,1803000000.0
Cash,8857000000.0,7618000000.0,9552000000.0,9518000000.0,11105000000.0,12163000000.0,10219000000.0,9005000000.0
Total Current Liabilities,6702000000.0,6371000000.0,6694000000.0,6436000000.0,6501000000.0,6281000000.0,6287000000.0,6910000000.0
Short Long Term Debt,807000000.0,807000000.0,843000000.0,255000000.0,255000000.0,264000000.0,269000000.0,269000000.0
Other Stockholder Equity,-131000000.0,-108000000.0,-107000000.0,-106000000.0,-106000000.0,-116000000.0,-115000000.0,-115000000.0
Property Plant Equipment,3173000000.0,3098000000.0,2496000000.0,2416000000.0,2370000000.0,2936000000.0,2303000000.0,2262000000.0
Total Current Assets,13681000000.0,11895000000.0,14300000000.0,14245000000.0,15636000000.0,16586000000.0,15341000000.0,14810000000.0
Net Tangible Assets,-38247000000.0,-36355000000.0,-34903000000.0,-33586000000.0,-31836000000.0,-29862000000.0,-30726000000.0,-31881000000.0
Net Receivables,2684000000.0,2297000000.0,2524000000.0,2425000000.0,2234000000.0,2071000000.0,2539000000.0,3083000000.0
Long Term Debt,43149000000.0,40187000000.0,41025000000.0,40121000000.0,40144000000.0,39401000000.0,39172000000.0,39135000000.0
Inventory,1081000000.0,1003000000.0,952000000.0,1004000000.0,1160000000.0,1297000000.0,1520000000.0,1668000000.0
Accounts Payable,1092000000.0,836000000.0,898000000.0,830000000.0,968000000.0,1086000000.0,1078000000.0,1069000000.0
Retained Earnings,,,,,320000000.0,748000000.0,,
Deferred Long Term Asset Charges,,240000000.0,,,,,,
