,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30
Intangible Assets,2338000000.0,2358000000.0,2424000000.0,2294000000.0,4095000000.0,3923000000.0
Capital Surplus,4790000000.0,4913000000.0,5068000000.0,5231000000.0,5335000000.0,5450000000.0
Total Liab,13819000000.0,13422000000.0,14139000000.0,14342000000.0,15023000000.0,14623000000.0
Total Stockholder Equity,3935000000.0,4452000000.0,5421000000.0,5528000000.0,6057000000.0,6081000000.0
Minority Interest,27000000.0,29000000.0,35000000.0,30000000.0,891000000.0,876000000.0
Other Current Liab,222000000.0,875000000.0,1106000000.0,1036000000.0,747000000.0,1123000000.0
Total Assets,17781000000.0,17903000000.0,19595000000.0,19900000000.0,21971000000.0,21580000000.0
Common Stock,6000000.0,6000000.0,6000000.0,6000000.0,6000000.0,6000000.0
Other Current Assets,87000000.0,22000000.0,73000000.0,136000000.0,52000000.0,61000000.0
Retained Earnings,10134000000.0,10480000000.0,11159000000.0,11420000000.0,12244000000.0,12864000000.0
Other Liab,1448000000.0,1456000000.0,1492000000.0,1460000000.0,2037000000.0,1964000000.0
Good Will,1401000000.0,1421000000.0,1401000000.0,1369000000.0,2616000000.0,2575000000.0
Treasury Stock,-10995000000.0,-10947000000.0,-10812000000.0,-11129000000.0,-11528000000.0,-12239000000.0
Other Assets,813000000.0,930000000.0,1012000000.0,922000000.0,1022000000.0,1125000000.0
Cash,5022000000.0,4267000000.0,5545000000.0,6399000000.0,4958000000.0,3995000000.0
Total Current Liabilities,5179000000.0,4744000000.0,5420000000.0,5197000000.0,5298000000.0,5319000000.0
Short Long Term Debt,464000000.0,473000000.0,470000000.0,486000000.0,14000000.0,285000000.0
Other Stockholder Equity,-665000000.0,-594000000.0,-383000000.0,-487000000.0,-470000000.0,-625000000.0
Property Plant Equipment,4337000000.0,4399000000.0,4467000000.0,4318000000.0,4470000000.0,4471000000.0
Total Current Assets,8892000000.0,8795000000.0,10291000000.0,10997000000.0,9768000000.0,9486000000.0
Net Tangible Assets,196000000.0,673000000.0,1596000000.0,1865000000.0,-654000000.0,-417000000.0
Net Receivables,1194000000.0,1812000000.0,1972000000.0,1735000000.0,1702000000.0,2265000000.0
Long Term Debt,4909000000.0,4913000000.0,4913000000.0,5487000000.0,5510000000.0,5267000000.0
Inventory,2062000000.0,2204000000.0,2116000000.0,2134000000.0,2505000000.0,2633000000.0
Accounts Payable,1177000000.0,1178000000.0,1299000000.0,1277000000.0,1692000000.0,1485000000.0
Deferred Long Term Asset Charges,44000000.0,,,,,
